GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Housing units with a mortgage:,Margin of Error; Housing units with a mortgage:,Estimate; Housing units with a mortgage: - Less than 10.0 percent,Margin of Error; Housing units with a mortgage: - Less than 10.0 percent,Estimate; Housing units with a mortgage: - 10.0 to 14.9 percent,Margin of Error; Housing units with a mortgage: - 10.0 to 14.9 percent,Estimate; Housing units with a mortgage: - 15.0 to 19.9 percent,Margin of Error; Housing units with a mortgage: - 15.0 to 19.9 percent,Estimate; Housing units with a mortgage: - 20.0 to 24.9 percent,Margin of Error; Housing units with a mortgage: - 20.0 to 24.9 percent,Estimate; Housing units with a mortgage: - 25.0 to 29.9 percent,Margin of Error; Housing units with a mortgage: - 25.0 to 29.9 percent,Estimate; Housing units with a mortgage: - 30.0 to 34.9 percent,Margin of Error; Housing units with a mortgage: - 30.0 to 34.9 percent,Estimate; Housing units with a mortgage: - 35.0 to 39.9 percent,Margin of Error; Housing units with a mortgage: - 35.0 to 39.9 percent,Estimate; Housing units with a mortgage: - 40.0 to 49.9 percent,Margin of Error; Housing units with a mortgage: - 40.0 to 49.9 percent,Estimate; Housing units with a mortgage: - 50.0 percent or more,Margin of Error; Housing units with a mortgage: - 50.0 percent or more,Estimate; Housing units with a mortgage: - Not computed,Margin of Error; Housing units with a mortgage: - Not computed,Estimate; Housing units without a mortgage:,Margin of Error; Housing units without a mortgage:,Estimate; Housing units without a mortgage: - Less than 10.0 percent,Margin of Error; Housing units without a mortgage: - Less than 10.0 percent,Estimate; Housing units without a mortgage: - 10.0 to 14.9 percent,Margin of Error; Housing units without a mortgage: - 10.0 to 14.9 percent,Estimate; Housing units without a mortgage: - 15.0 to 19.9 percent,Margin of Error; Housing units without a mortgage: - 15.0 to 19.9 percent,Estimate; Housing units without a mortgage: - 20.0 to 24.9 percent,Margin of Error; Housing units without a mortgage: - 20.0 to 24.9 percent,Estimate; Housing units without a mortgage: - 25.0 to 29.9 percent,Margin of Error; Housing units without a mortgage: - 25.0 to 29.9 percent,Estimate; Housing units without a mortgage: - 30.0 to 34.9 percent,Margin of Error; Housing units without a mortgage: - 30.0 to 34.9 percent,Estimate; Housing units without a mortgage: - 35.0 to 39.9 percent,Margin of Error; Housing units without a mortgage: - 35.0 to 39.9 percent,Estimate; Housing units without a mortgage: - 40.0 to 49.9 percent,Margin of Error; Housing units without a mortgage: - 40.0 to 49.9 percent,Estimate; Housing units without a mortgage: - 50.0 percent or more,Margin of Error; Housing units without a mortgage: - 50.0 percent or more,Estimate; Housing units without a mortgage: - Not computed,Margin of Error; Housing units without a mortgage: - Not computed
0500000US41025,41025,"Harney County, Oregon",2020,135,1021,126,130,50,169,70,165,60,136,66,97,55,95,47,29,27,53,38,137,62,10,16,999,154,490,117,126,63,104,60,46,29,52,36,81,52,17,20,14,15,63,47,6,8
0500000US41027,41027,"Hood River County, Oregon",5383,289,3376,264,127,85,270,84,460,106,458,126,562,141,475,168,304,126,220,86,485,159,15,25,2007,190,802,142,509,134,252,87,111,57,118,81,25,34,37,35,74,65,79,51,0,22
0500000US41029,41029,"Jackson County, Oregon",51747,1194,32573,1066,1398,224,2533,405,4505,501,4843,437,4206,404,3371,420,2225,284,2971,383,6338,563,183,104,19174,769,6477,460,3896,408,2491,342,1717,277,1067,216,760,205,448,138,742,167,1398,260,178,99
0500000US41031,41031,"Jefferson County, Oregon",5156,267,3204,264,179,79,372,97,381,104,387,117,542,164,230,75,276,107,180,86,615,148,42,40,1952,223,779,148,424,103,278,83,171,66,109,55,39,30,44,34,29,26,77,48,2,4
0500000US41033,41033,"Josephine County, Oregon",22777,720,13536,664,580,182,1292,258,2012,328,1746,247,1734,282,1030,201,816,198,912,202,3314,391,100,69,9241,548,3893,402,1600,239,1164,207,583,165,545,145,293,117,208,98,209,92,613,163,133,67
0500000US41035,41035,"Klamath County, Oregon",18017,469,10886,492,510,141,1217,192,2077,256,1668,239,1088,204,1107,253,531,115,823,174,1803,244,62,48,7131,429,3206,381,1498,244,658,143,483,137,336,115,221,102,168,76,99,54,352,100,110,81
0500000US41037,41037,"Lake County, Oregon",2361,167,1138,156,76,43,109,58,231,83,189,72,150,82,93,46,54,49,70,43,166,85,0,17,1223,161,501,106,222,93,155,67,55,35,98,52,13,16,0,17,38,33,135,106,6,8
0500000US41039,41039,"Lane County, Oregon",86324,1048,57132,1129,2432,304,5569,470,8747,495,9405,589,7528,504,5228,437,4189,377,4616,345,8998,481,420,147,29192,776,11164,515,5770,392,3658,349,2192,303,1482,212,960,178,614,128,1046,242,1910,253,396,121
0500000US41041,41041,"Lincoln County, Oregon",13694,429,7869,429,427,141,735,152,1084,181,1212,211,979,188,838,163,506,152,475,102,1561,233,52,37,5825,350,2066,238,1134,183,724,150,426,96,328,112,254,101,184,83,195,86,435,133,79,59
0500000US41043,41043,"Linn County, Oregon",29852,740,19552,717,594,157,2160,357,3373,451,3348,337,2744,363,2252,318,1170,214,1373,265,2473,285,65,40,10300,576,4100,397,2250,292,1293,231,614,131,600,158,253,86,297,96,215,85,534,145,144,99
0500000US41045,41045,"Malheur County, Oregon",6248,272,3375,228,157,58,575,139,550,116,545,115,359,101,150,51,209,91,344,105,465,102,21,20,2873,208,1248,157,580,99,273,72,190,78,134,65,98,47,62,44,54,29,206,79,28,24
0500000US41047,41047,"Marion County, Oregon",68266,1012,47449,1138,1648,265,4928,474,7155,506,7779,563,6917,524,4750,416,3159,380,4301,362,6702,539,110,67,20817,852,7868,544,4412,425,2181,288,1615,252,1271,221,751,162,700,192,786,187,1090,205,143,71
0500000US41049,41049,"Morrow County, Oregon",2737,162,1620,141,134,52,315,76,319,92,228,63,140,59,199,67,73,38,132,61,76,35,4,6,1117,123,521,102,238,73,97,45,101,50,55,33,23,20,11,16,12,12,55,38,4,7
0500000US41051,41051,"Multnomah County, Oregon",165713,1967,125918,1745,4992,452,12887,741,20318,1012,20215,832,17966,806,12892,683,8273,497,9930,515,17840,869,605,154,39795,946,12664,637,8153,473,4860,405,3651,341,2362,244,1689,207,1120,186,1594,225,3251,362,451,141
0500000US41053,41053,"Polk County, Oregon",18456,509,13224,519,569,129,1466,243,2381,333,2100,299,1862,297,1209,217,868,185,1138,250,1616,274,15,20,5232,420,2104,268,1100,170,626,136,546,189,207,76,141,57,61,44,131,66,281,98,35,34
0500000US41055,41055,"Sherman County, Oregon",537,60,186,32,25,15,33,14,25,14,23,10,21,12,5,5,15,13,10,7,27,16,2,3,351,51,152,34,57,18,37,14,18,14,8,10,9,10,9,8,2,3,55,34,4,6
0500000US41057,41057,"Tillamook County, Oregon",7150,324,4228,268,82,51,512,124,519,111,638,123,581,130,441,151,341,110,299,105,810,143,5,9,2922,219,1122,192,627,139,374,88,168,66,69,38,131,77,54,33,179,100,147,62,51,43
0500000US41059,41059,"Umatilla County, Oregon",17051,421,10548,457,649,186,1814,266,2206,253,1688,247,1172,220,763,191,614,146,650,189,965,206,27,27,6503,450,2990,328,1294,215,663,144,487,131,246,76,158,72,88,52,241,130,255,85,81,69
0500000US41061,41061,"Union County, Oregon",6491,226,3920,242,314,82,587,108,823,119,628,140,316,79,358,87,156,57,268,98,449,96,21,21,2571,188,1095,152,587,102,255,71,231,76,65,38,80,39,18,16,39,26,190,81,11,9
0500000US41063,41063,"Wallowa County, Oregon",2214,122,1143,130,69,41,134,54,226,60,153,52,136,53,91,41,71,30,61,26,202,56,0,17,1071,109,325,73,256,87,129,46,55,22,66,45,64,38,19,15,54,35,103,58,0,17
0500000US41065,41065,"Wasco County, Oregon",6234,312,3996,272,229,95,435,114,713,136,646,142,336,106,452,123,303,103,421,106,461,113,0,22,2238,215,875,154,501,118,375,84,109,42,45,28,98,41,38,27,58,38,128,62,11,13
0500000US41067,41067,"Washington County, Oregon",122999,1385,95032,1357,3973,371,10086,674,16720,736,16605,791,13297,833,9118,665,5823,467,7132,535,12104,592,174,94,27967,901,11654,658,5297,480,3499,450,2055,337,1696,306,754,174,522,123,732,150,1573,229,185,77
0500000US41069,41069,"Wheeler County, Oregon",450,40,190,33,14,12,27,12,22,10,30,14,13,11,13,11,11,8,15,11,44,22,1,2,260,39,98,26,57,20,38,14,15,11,16,11,8,9,0,12,8,8,18,13,2,3
0500000US41071,41071,"Yamhill County, Oregon",23494,540,16768,617,619,137,1343,210,2521,312,3135,365,2114,270,1767,299,1272,248,1381,233,2407,377,209,134,6726,462,2692,307,1284,222,845,198,643,162,279,90,274,113,178,82,137,54,390,161,4,7
