fips,familyCode,weightCensus,ageAdjustment,weightFinal,
41013,a2i0p1s1t0,,0.2692,,
41013,a2i0p1s0t1,,0.2308,,
41013,a2i0p0s2t0,,0.2899,,
41013,a2i0p0s1t1,,0.497,,
41013,a2i0p0s0t2,,0.213,,
41015,a1i2p0s0t0,,0.25,,
41015,a1i1p1s0t0,,0.5,,
41015,a1i1p0s1t0,,0.2692,,
41015,a1i1p0s0t1,,0.2308,,
41015,a1i0p2s0t0,,0.25,,
41015,a1i0p1s1t0,,0.2692,,
41015,a1i0p1s0t1,,0.2308,,
41015,a1i0p0s2t0,,0.2899,,
41015,a1i0p0s1t1,,0.497,,
41015,a1i0p0s0t2,,0.213,,
41015,a2i2p0s0t0,,0.25,,
41015,a2i1p1s0t0,,0.5,,
41015,a2i1p0s1t0,,0.2692,,
41015,a2i1p0s0t1,,0.2308,,
41015,a2i0p2s0t0,,0.25,,
41015,a2i0p1s1t0,,0.2692,,
41015,a2i0p1s0t1,,0.2308,,
41015,a2i0p0s2t0,,0.2899,,
41015,a2i0p0s1t1,,0.497,,
41015,a2i0p0s0t2,,0.213,,
41017,a1i2p0s0t0,,0.25,,
41017,a1i1p1s0t0,,0.5,,
41017,a1i1p0s1t0,,0.2692,,
41017,a1i1p0s0t1,,0.2308,,
41017,a1i0p2s0t0,,0.25,,
41017,a1i0p1s1t0,,0.2692,,
41017,a1i0p1s0t1,,0.2308,,
41017,a1i0p0s2t0,,0.2899,,
41017,a1i0p0s1t1,,0.497,,
41017,a1i0p0s0t2,,0.213,,
41017,a2i2p0s0t0,,0.25,,
41017,a2i1p1s0t0,,0.5,,
41017,a2i1p0s1t0,,0.2692,,
41017,a2i1p0s0t1,,0.2308,,
41017,a2i0p2s0t0,,0.25,,
41017,a2i0p1s1t0,,0.2692,,
41017,a2i0p1s0t1,,0.2308,,
41017,a2i0p0s2t0,,0.2899,,
41017,a2i0p0s1t1,,0.497,,
41017,a2i0p0s0t2,,0.213,,
41019,a1i2p0s0t0,,0.25,,
41019,a1i1p1s0t0,,0.5,,
41019,a1i1p0s1t0,,0.2692,,
41019,a1i1p0s0t1,,0.2308,,
41019,a1i0p2s0t0,,0.25,,
41019,a1i0p1s1t0,,0.2692,,
41019,a1i0p1s0t1,,0.2308,,
41019,a1i0p0s2t0,,0.2899,,
41019,a1i0p0s1t1,,0.497,,
41019,a1i0p0s0t2,,0.213,,
41019,a2i2p0s0t0,,0.25,,
41019,a2i1p1s0t0,,0.5,,
41019,a2i1p0s1t0,,0.2692,,
41019,a2i1p0s0t1,,0.2308,,
41019,a2i0p2s0t0,,0.25,,
41019,a2i0p1s1t0,,0.2692,,
41019,a2i0p1s0t1,,0.2308,,
41019,a2i0p0s2t0,,0.2899,,
41019,a2i0p0s1t1,,0.497,,
41019,a2i0p0s0t2,,0.213,,
