GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; With own children under 18 years:
HD02_VD02,Margin of Error; With own children under 18 years:
HD01_VD03,"Estimate; With own children under 18 years: - Householder worked full-time, year-round in the past 12 months:"
HD02_VD03,"Margin of Error; With own children under 18 years: - Householder worked full-time, year-round in the past 12 months:"
HD01_VD04,"Estimate; With own children under 18 years: - Householder worked full-time, year-round in the past 12 months: - Spouse worked full-time, year-round in the past 12 months"
HD02_VD04,"Margin of Error; With own children under 18 years: - Householder worked full-time, year-round in the past 12 months: - Spouse worked full-time, year-round in the past 12 months"
HD01_VD05,"Estimate; With own children under 18 years: - Householder worked full-time, year-round in the past 12 months: - Spouse worked less than full-time, year-round in the past 12 months"
HD02_VD05,"Margin of Error; With own children under 18 years: - Householder worked full-time, year-round in the past 12 months: - Spouse worked less than full-time, year-round in the past 12 months"
HD01_VD06,"Estimate; With own children under 18 years: - Householder worked full-time, year-round in the past 12 months: - Spouse did not work in the past 12 months"
HD02_VD06,"Margin of Error; With own children under 18 years: - Householder worked full-time, year-round in the past 12 months: - Spouse did not work in the past 12 months"
HD01_VD07,"Estimate; With own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months:"
HD02_VD07,"Margin of Error; With own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months:"
HD01_VD08,"Estimate; With own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months: - Spouse worked full-time, year-round in the past 12 months"
HD02_VD08,"Margin of Error; With own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months: - Spouse worked full-time, year-round in the past 12 months"
HD01_VD09,"Estimate; With own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months: - Spouse worked less than full-time, year-round in the past 12 months"
HD02_VD09,"Margin of Error; With own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months: - Spouse worked less than full-time, year-round in the past 12 months"
HD01_VD10,"Estimate; With own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months: - Spouse did not work in the past 12 months"
HD02_VD10,"Margin of Error; With own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months: - Spouse did not work in the past 12 months"
HD01_VD11,Estimate; With own children under 18 years: - Householder did not work in the past 12 months:
HD02_VD11,Margin of Error; With own children under 18 years: - Householder did not work in the past 12 months:
HD01_VD12,"Estimate; With own children under 18 years: - Householder did not work in the past 12 months: - Spouse worked full-time, year-round in the past 12 months"
HD02_VD12,"Margin of Error; With own children under 18 years: - Householder did not work in the past 12 months: - Spouse worked full-time, year-round in the past 12 months"
HD01_VD13,"Estimate; With own children under 18 years: - Householder did not work in the past 12 months: - Spouse worked less than full-time, year-round in the past 12 months"
HD02_VD13,"Margin of Error; With own children under 18 years: - Householder did not work in the past 12 months: - Spouse worked less than full-time, year-round in the past 12 months"
HD01_VD14,Estimate; With own children under 18 years: - Householder did not work in the past 12 months: - Spouse did not work in the past 12 months
HD02_VD14,Margin of Error; With own children under 18 years: - Householder did not work in the past 12 months: - Spouse did not work in the past 12 months
HD01_VD15,Estimate; No own children under 18 years:
HD02_VD15,Margin of Error; No own children under 18 years:
HD01_VD16,"Estimate; No own children under 18 years: - Householder worked full-time, year-round in the past 12 months:"
HD02_VD16,"Margin of Error; No own children under 18 years: - Householder worked full-time, year-round in the past 12 months:"
HD01_VD17,"Estimate; No own children under 18 years: - Householder worked full-time, year-round in the past 12 months: - Spouse worked full-time, year-round in the past 12 months"
HD02_VD17,"Margin of Error; No own children under 18 years: - Householder worked full-time, year-round in the past 12 months: - Spouse worked full-time, year-round in the past 12 months"
HD01_VD18,"Estimate; No own children under 18 years: - Householder worked full-time, year-round in the past 12 months: - Spouse worked less than full-time, year-round in the past 12 months"
HD02_VD18,"Margin of Error; No own children under 18 years: - Householder worked full-time, year-round in the past 12 months: - Spouse worked less than full-time, year-round in the past 12 months"
HD01_VD19,"Estimate; No own children under 18 years: - Householder worked full-time, year-round in the past 12 months: - Spouse did not work in the past 12 months"
HD02_VD19,"Margin of Error; No own children under 18 years: - Householder worked full-time, year-round in the past 12 months: - Spouse did not work in the past 12 months"
HD01_VD20,"Estimate; No own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months:"
HD02_VD20,"Margin of Error; No own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months:"
HD01_VD21,"Estimate; No own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months: - Spouse worked full-time, year-round in the past 12 months"
HD02_VD21,"Margin of Error; No own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months: - Spouse worked full-time, year-round in the past 12 months"
HD01_VD22,"Estimate; No own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months: - Spouse worked less than full-time, year-round in the past 12 months"
HD02_VD22,"Margin of Error; No own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months: - Spouse worked less than full-time, year-round in the past 12 months"
HD01_VD23,"Estimate; No own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months: - Spouse did not work in the past 12 months"
HD02_VD23,"Margin of Error; No own children under 18 years: - Householder worked less than full-time, year-round in the past 12 months: - Spouse did not work in the past 12 months"
HD01_VD24,Estimate; No own children under 18 years: - Householder did not work in the past 12 months:
HD02_VD24,Margin of Error; No own children under 18 years: - Householder did not work in the past 12 months:
HD01_VD25,"Estimate; No own children under 18 years: - Householder did not work in the past 12 months: - Spouse worked full-time, year-round in the past 12 months"
HD02_VD25,"Margin of Error; No own children under 18 years: - Householder did not work in the past 12 months: - Spouse worked full-time, year-round in the past 12 months"
HD01_VD26,"Estimate; No own children under 18 years: - Householder did not work in the past 12 months: - Spouse worked less than full-time, year-round in the past 12 months"
HD02_VD26,"Margin of Error; No own children under 18 years: - Householder did not work in the past 12 months: - Spouse worked less than full-time, year-round in the past 12 months"
HD01_VD27,Estimate; No own children under 18 years: - Householder did not work in the past 12 months: - Spouse did not work in the past 12 months
HD02_VD27,Margin of Error; No own children under 18 years: - Householder did not work in the past 12 months: - Spouse did not work in the past 12 months
