"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","48-49","54","0","2013","A","",563,8512,450820123,0,0,1019,52963,"",1.51,1.02,1.07,0.00,0.00,1.06,1.06,"",-12,-2.1,-123,-1.4,-9279755,-2.0,0,0.0,0,0.0,-6,-0.6,-320,-0.6
"01000","2","48-49","54","0","2013","A","N",4,0,0,0,0,0,0,"N",0.59,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","48-49","54","0","2013","A","",118,4737,110237199,1088529,17073,448,23274,"",3.37,1.26,0.63,0.32,0.29,0.51,0.50,"",-2,-1.7,-5,-0.1,-3477723,-3.1,-1128600,-50.9,-16631,-49.3,-13,-2.8,-705,-2.9
"01000","5","48-49","54","0","2013","A","",3301,52860,2220556180,548049893,15236404,808,42008,"",1.16,0.90,0.94,0.94,0.94,1.04,1.04,"",-74,-2.2,1664,3.3,86156038,4.0,20320878,3.9,-1799277,-10.6,6,0.7,317,0.8
"01001","1","48-49","74","0","2013","A","",5,66,3160074,0,0,925,48123,"",1.87,1.43,1.69,0.00,0.00,1.19,1.19,"",0,0.0,0,0.0,-93286,-2.9,0,0.0,0,0.0,-25,-2.6,-1295,-2.6
"01001","3","48-49","74","0","2013","A","N",1,0,0,0,0,0,0,"N",4.00,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","48-49","74","0","2013","A","",15,117,4132687,1209071,30240,682,35448,"",0.74,0.36,0.40,0.42,0.42,1.10,1.10,"",-5,-25.0,-4,-3.3,-287744,-6.5,20183,1.7,-8068,-21.1,-20,-2.8,-1034,-2.8
"01003","1","48-49","74","0","2013","A","",20,214,10589974,0,0,954,49602,"",1.18,0.75,0.96,0.00,0.00,1.29,1.29,"",0,0.0,8,3.9,337608,3.3,0,0.0,0,0.0,-1,-0.1,-66,-0.1
"01003","3","48-49","74","0","2013","A","N",1,0,0,0,0,0,0,"N",0.63,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","48-49","74","0","2013","A","",131,1151,50917378,11045148,360868,851,44257,"",1.02,0.58,0.83,0.53,0.68,1.43,1.43,"",8,6.5,345,42.8,20566862,67.8,3225151,41.2,108846,43.2,127,17.5,6597,17.5
"01005","1","48-49","74","0","2013","A","",4,35,1605242,0,0,876,45539,"",2.16,0.91,1.08,0.00,0.00,1.17,1.17,"",0,0.0,-3,-7.9,-38288,-2.3,0,0.0,0,0.0,35,4.2,1809,4.1
"01005","5","48-49","74","0","2013","A","",25,526,24411621,6098823,113643,893,46425,"",1.77,1.97,2.92,2.30,1.26,1.48,1.48,"",0,0.0,1,0.2,907775,3.9,234988,4.0,-43289,-27.6,32,3.7,1677,3.7
"01007","1","48-49","74","0","2013","A","",7,38,1483855,0,0,761,39569,"",6.41,1.99,1.83,0.00,0.00,0.93,0.93,"",0,0.0,-1,-2.6,-88242,-5.6,0,0.0,0,0.0,-24,-3.1,-1265,-3.1
"01007","3","48-49","74","0","2013","A","N",2,0,0,0,0,0,0,"N",19.57,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","48-49","74","0","2013","A","N",16,0,0,0,0,0,0,"N",1.92,0,0,0,0,0,0,"N",-2,-11.1,0,0,0,0,0,0,0,0,0,0,0,0
