GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With own children under 18 years,Margin of Error; Total: - With own children under 18 years,Estimate; Total: - No own children under 18 years,Margin of Error; Total: - No own children under 18 years
0500000US41001,41001,"Baker County, Oregon",51199,3083,43729,4532,55792,4281
0500000US41003,41003,"Benton County, Oregon",75012,2512,72958,5571,75714,3039
0500000US41005,41005,"Clackamas County, Oregon",76549,1135,74028,2339,78367,1673
0500000US41007,41007,"Clatsop County, Oregon",54849,4773,48397,6323,60139,4719
0500000US41009,41009,"Columbia County, Oregon",63435,3506,62954,6342,63909,4410
0500000US41011,41011,"Coos County, Oregon",47830,1854,47652,2636,47985,2486
0500000US41013,41013,"Crook County, Oregon",48486,3228,37153,8702,51820,4837
0500000US41015,41015,"Curry County, Oregon",48833,3841,41076,7196,52028,5896
0500000US41017,41017,"Deschutes County, Oregon",61488,1577,59750,4567,62074,2015
0500000US41019,41019,"Douglas County, Oregon",48420,2107,41647,3154,51519,1960
0500000US41021,41021,"Gilliam County, Oregon",56667,6709,53750,12653,58958,7921
0500000US41023,41023,"Grant County, Oregon",46000,5982,40950,4691,48480,4687
0500000US41025,41025,"Harney County, Oregon",42540,4594,43889,9088,42244,4723
0500000US41027,41027,"Hood River County, Oregon",64422,5343,61617,4717,68069,6415
0500000US41029,41029,"Jackson County, Oregon",53254,1345,44733,2797,58028,1605
0500000US41031,41031,"Jefferson County, Oregon",46040,4085,36648,5636,54957,4078
0500000US41033,41033,"Josephine County, Oregon",46913,1446,38622,3669,50476,1381
0500000US41035,41035,"Klamath County, Oregon",48896,2067,41016,4956,53141,2701
0500000US41037,41037,"Lake County, Oregon",47537,5441,46295,12974,48058,7504
0500000US41039,41039,"Lane County, Oregon",56605,1357,51544,2374,60086,1389
0500000US41041,41041,"Lincoln County, Oregon",53750,2374,48792,4371,56479,3226
0500000US41043,41043,"Linn County, Oregon",55169,1751,50444,2883,57947,1527
0500000US41045,41045,"Malheur County, Oregon",45825,3356,37240,5208,51477,3443
0500000US41047,41047,"Marion County, Oregon",54920,1478,45748,2034,62540,1698
0500000US41049,41049,"Morrow County, Oregon",52652,1947,49574,4734,59567,9420
0500000US41051,41051,"Multnomah County, Oregon",65897,1115,60280,1853,70307,1137
0500000US41053,41053,"Polk County, Oregon",62802,2661,56538,4271,67155,5105
0500000US41055,41055,"Sherman County, Oregon",57115,6669,61607,10519,54479,7006
0500000US41057,41057,"Tillamook County, Oregon",51235,2242,45341,2623,54125,3938
0500000US41059,41059,"Umatilla County, Oregon",57434,1960,51731,5098,63861,2695
0500000US41061,41061,"Union County, Oregon",51973,2448,45320,4561,56779,3607
0500000US41063,41063,"Wallowa County, Oregon",54513,4107,47188,13692,56154,5657
0500000US41065,41065,"Wasco County, Oregon",53598,4104,43032,5069,58826,4441
0500000US41067,41067,"Washington County, Oregon",76711,1302,75320,2022,78004,1933
0500000US41069,41069,"Wheeler County, Oregon",46875,7842,49750,11409,46172,7532
0500000US41071,41071,"Yamhill County, Oregon",62284,2204,55420,5294,65490,2241
