GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total:,Margin of Error; Median household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total:,Estimate; Median household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Householder under 25 years,Margin of Error; Median household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Householder under 25 years,Estimate; Median household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Householder 25 to 44 years,Margin of Error; Median household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Householder 25 to 44 years,Estimate; Median household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Householder 45 to 64 years,Margin of Error; Median household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Householder 45 to 64 years,Estimate; Median household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Householder 65 years and over,Margin of Error; Median household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Householder 65 years and over
0500000US41001,41001,"Baker County, Oregon",41500,2651,17057,6670,44773,3208,50538,6546,33784,3899
0500000US41003,41003,"Benton County, Oregon",48604,2164,12360,1908,50060,3984,71498,4757,50787,4463
0500000US41005,41005,"Clackamas County, Oregon",64352,967,32244,2931,68122,2266,76769,1765,44069,1448
0500000US41007,41007,"Clatsop County, Oregon",44683,2224,30125,8293,45063,5803,52851,5776,37930,2187
0500000US41009,41009,"Columbia County, Oregon",54968,2052,30139,19706,60417,6464,67532,5326,35281,4260
0500000US41011,41011,"Coos County, Oregon",37940,1623,22453,7922,40249,4197,45097,2115,32543,1772
0500000US41013,41013,"Crook County, Oregon",38795,3404,28488,4980,38016,9810,48857,2590,31634,2802
0500000US41015,41015,"Curry County, Oregon",39516,3505,37641,13119,46129,4759,50887,6265,29863,4903
0500000US41017,41017,"Deschutes County, Oregon",50209,2065,32887,7698,57154,3734,58300,2756,40087,1864
0500000US41019,41019,"Douglas County, Oregon",40524,1242,25593,5572,41885,2749,49148,2487,33693,1846
0500000US41021,41021,"Gilliam County, Oregon",44743,4646,19545,32803,46111,9039,58542,7219,26654,2031
0500000US41023,41023,"Grant County, Oregon",35051,3954,21400,9553,39167,8280,42917,5737,29448,3786
0500000US41025,41025,"Harney County, Oregon",38113,2446,13250,19117,41488,9500,43770,3763,28984,3599
0500000US41027,41027,"Hood River County, Oregon",56725,3149,23322,14074,66058,11267,64947,6283,38494,9775
0500000US41029,41029,"Jackson County, Oregon",44005,1111,24860,3284,45085,3135,53278,2279,37561,2025
0500000US41031,41031,"Jefferson County, Oregon",43373,2149,31875,11857,40645,4903,49299,6297,43148,3547
0500000US41033,41033,"Josephine County, Oregon",37733,1509,23835,6843,40369,3114,44196,2475,31864,2210
0500000US41035,41035,"Klamath County, Oregon",39627,2627,19420,5809,40775,5285,48090,3979,32724,2502
0500000US41037,41037,"Lake County, Oregon",33611,5426,19659,16858,50043,11616,38646,7947,22123,4737
0500000US41039,41039,"Lane County, Oregon",42931,803,16610,1668,48074,1826,53699,1277,35744,1135
0500000US41041,41041,"Lincoln County, Oregon",42365,2385,30694,22754,47309,3796,48780,3997,37041,2509
0500000US41043,41043,"Linn County, Oregon",46939,1414,22775,3210,50092,1981,58303,2180,35424,1791
0500000US41045,41045,"Malheur County, Oregon",35578,1779,18211,3130,40184,9446,38466,3063,31494,3815
0500000US41047,41047,"Marion County, Oregon",46885,981,25082,4743,46267,1487,58503,1413,38242,1656
0500000US41049,41049,"Morrow County, Oregon",49940,2462,22500,3872,52485,3160,53438,8452,32875,5738
0500000US41051,41051,"Multnomah County, Oregon",52511,692,25238,1482,56463,1206,60608,1151,37786,1237
0500000US41053,41053,"Polk County, Oregon",52808,1714,18561,4540,53958,3620,70419,3278,41347,3796
0500000US41055,41055,"Sherman County, Oregon",42639,8078,18750,9677,57344,13671,52411,9759,35438,3237
0500000US41057,41057,"Tillamook County, Oregon",43676,1892,26297,10050,46189,1784,51168,3214,33694,4171
0500000US41059,41059,"Umatilla County, Oregon",48389,2130,29008,5943,50980,1977,58797,3577,35180,2273
0500000US41061,41061,"Union County, Oregon",42542,1965,10841,1420,45321,3797,54561,4963,31959,2983
0500000US41063,41063,"Wallowa County, Oregon",41994,3233,27813,25020,43036,5195,47813,7668,38030,2806
0500000US41065,41065,"Wasco County, Oregon",43765,1194,26957,9480,45708,4776,53315,5487,34881,2114
0500000US41067,41067,"Washington County, Oregon",64180,848,36051,2917,69541,1499,76764,1846,41188,1423
0500000US41069,41069,"Wheeler County, Oregon",37974,3555,-,**,50278,15679,43625,5311,31033,2263
0500000US41071,41071,"Yamhill County, Oregon",54535,2505,27688,11024,57884,6162,66073,3466,38743,1964
