GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09
Id,Id2,Geography,Estimate; Total:,Estimate; Percent of income imputed -- - No income imputed,Estimate; Percent of income imputed -- - Dollar value of zero imputed,Estimate; Percent of income imputed -- - More than 0 to less than 10 percent of total income for family imputed,Estimate; Percent of income imputed -- - 10 to less than 25 percent of total income for family imputed,Estimate; Percent of income imputed -- - 25 to less than 50 percent of total income for family imputed,Estimate; Percent of income imputed -- - 50 to less than 100 percent of total income for family imputed,Estimate; Percent of income imputed -- - 100 percent of total income for family imputed
0500000US41001,41001,"Baker County, Oregon",4603,3361,91,97,79,158,199,618
0500000US41003,41003,"Benton County, Oregon",18698,15038,472,609,359,340,559,1321
0500000US41005,41005,"Clackamas County, Oregon",101963,76906,2177,3166,1906,3022,4671,10115
0500000US41007,41007,"Clatsop County, Oregon",9878,7193,233,324,343,482,476,827
0500000US41009,41009,"Columbia County, Oregon",13725,10759,273,470,290,346,501,1086
0500000US41011,41011,"Coos County, Oregon",15899,11604,323,377,478,588,1021,1508
0500000US41013,41013,"Crook County, Oregon",6041,4219,181,178,114,167,406,776
0500000US41015,41015,"Curry County, Oregon",6164,4286,98,175,183,205,317,900
0500000US41017,41017,"Deschutes County, Oregon",43353,32165,903,1256,906,1091,2231,4801
0500000US41019,41019,"Douglas County, Oregon",29217,20912,712,798,564,866,1433,3932
0500000US41021,41021,"Gilliam County, Oregon",532,386,2,7,7,11,53,66
0500000US41023,41023,"Grant County, Oregon",2126,1429,61,142,105,59,77,253
0500000US41025,41025,"Harney County, Oregon",2158,1438,44,92,71,72,176,265
0500000US41027,41027,"Hood River County, Oregon",5453,4293,136,192,79,165,181,407
0500000US41029,41029,"Jackson County, Oregon",53998,39479,1078,1392,1638,1609,3084,5718
0500000US41031,41031,"Jefferson County, Oregon",5506,3206,81,295,209,199,470,1046
0500000US41033,41033,"Josephine County, Oregon",22009,15042,689,502,442,573,1446,3315
0500000US41035,41035,"Klamath County, Oregon",18313,13885,371,443,383,476,886,1869
0500000US41037,41037,"Lake County, Oregon",2148,1509,72,103,49,50,109,256
0500000US41039,41039,"Lane County, Oregon",86248,66646,2015,2579,1607,2126,3328,7947
0500000US41041,41041,"Lincoln County, Oregon",13045,9305,252,426,308,463,692,1599
0500000US41043,41043,"Linn County, Oregon",30845,23312,915,937,637,764,1193,3087
0500000US41045,41045,"Malheur County, Oregon",6879,4977,91,275,168,170,312,886
0500000US41047,41047,"Marion County, Oregon",78306,59110,1695,2380,1663,2678,3792,6988
0500000US41049,41049,"Morrow County, Oregon",2811,1977,32,94,82,104,155,367
0500000US41051,41051,"Multnomah County, Oregon",166106,131430,3635,4661,3296,3968,7143,11973
0500000US41053,41053,"Polk County, Oregon",19535,15314,494,719,442,598,666,1302
0500000US41055,41055,"Sherman County, Oregon",484,351,7,8,8,29,30,51
0500000US41057,41057,"Tillamook County, Oregon",6575,5134,123,172,130,227,231,558
0500000US41059,41059,"Umatilla County, Oregon",18424,12576,377,768,711,763,1028,2201
0500000US41061,41061,"Union County, Oregon",6763,4831,177,374,165,124,376,716
0500000US41063,41063,"Wallowa County, Oregon",1847,1158,42,60,62,112,87,326
0500000US41065,41065,"Wasco County, Oregon",6484,4844,213,165,84,286,273,619
0500000US41067,41067,"Washington County, Oregon",135468,110109,2925,3562,2233,2558,4644,9437
0500000US41069,41069,"Wheeler County, Oregon",410,271,1,18,22,8,21,69
0500000US41071,41071,"Yamhill County, Oregon",24954,19638,457,565,496,728,1018,2052
