GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - With interest, dividends, or net rental income","Margin of Error; Total: - With interest, dividends, or net rental income","Estimate; Total: - No interest, dividends, or net rental income","Margin of Error; Total: - No interest, dividends, or net rental income"
0500000US41001,41001,"Baker County, Oregon",7120,210,1652,156,5468,234
0500000US41003,41003,"Benton County, Oregon",33384,461,10562,442,22822,668
0500000US41005,41005,"Clackamas County, Oregon",146527,937,39888,1096,106639,1217
0500000US41007,41007,"Clatsop County, Oregon",15749,366,4035,298,11714,405
0500000US41009,41009,"Columbia County, Oregon",19069,260,4755,356,14314,400
0500000US41011,41011,"Coos County, Oregon",26072,569,6410,381,19662,599
0500000US41013,41013,"Crook County, Oregon",8880,313,1719,197,7161,305
0500000US41015,41015,"Curry County, Oregon",10355,345,2575,278,7780,381
0500000US41017,41017,"Deschutes County, Oregon",64568,876,17109,754,47459,967
0500000US41019,41019,"Douglas County, Oregon",43846,599,8872,550,34974,709
0500000US41021,41021,"Gilliam County, Oregon",883,57,160,40,723,66
0500000US41023,41023,"Grant County, Oregon",3319,161,694,112,2625,171
0500000US41025,41025,"Harney County, Oregon",3113,162,763,130,2350,180
0500000US41027,41027,"Hood River County, Oregon",8144,360,2270,215,5874,408
0500000US41029,41029,"Jackson County, Oregon",83140,854,19719,783,63421,961
0500000US41031,41031,"Jefferson County, Oregon",7882,243,1427,188,6455,261
0500000US41033,41033,"Josephine County, Oregon",34390,589,8426,485,25964,763
0500000US41035,41035,"Klamath County, Oregon",27378,410,5793,385,21585,482
0500000US41037,41037,"Lake County, Oregon",3566,161,700,131,2866,183
0500000US41039,41039,"Lane County, Oregon",144912,977,37832,1136,107080,1389
0500000US41041,41041,"Lincoln County, Oregon",20913,524,5418,425,15495,511
0500000US41043,41043,"Linn County, Oregon",44722,532,9270,470,35452,629
0500000US41045,41045,"Malheur County, Oregon",10136,242,2005,197,8131,292
0500000US41047,41047,"Marion County, Oregon",113285,765,23025,909,90260,1138
0500000US41049,41049,"Morrow County, Oregon",3741,154,679,116,3062,164
0500000US41051,41051,"Multnomah County, Oregon",305939,1489,75728,1583,230211,1870
0500000US41053,41053,"Polk County, Oregon",28239,469,7258,455,20981,612
0500000US41055,41055,"Sherman County, Oregon",827,61,211,41,616,69
0500000US41057,41057,"Tillamook County, Oregon",10236,340,1966,242,8270,427
0500000US41059,41059,"Umatilla County, Oregon",26744,355,5299,391,21445,544
0500000US41061,41061,"Union County, Oregon",10235,204,2488,204,7747,296
0500000US41063,41063,"Wallowa County, Oregon",2996,154,877,109,2119,154
0500000US41065,41065,"Wasco County, Oregon",9612,296,2341,215,7271,313
0500000US41067,41067,"Washington County, Oregon",201771,975,53321,1227,148450,1341
0500000US41069,41069,"Wheeler County, Oregon",625,47,116,26,509,48
0500000US41071,41071,"Yamhill County, Oregon",34138,503,8690,489,25448,632
