GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With retirement income,Margin of Error; Total: - With retirement income,Estimate; Total: - No retirement income,Margin of Error; Total: - No retirement income
0500000US41001,41001,"Baker County, Oregon",7120,210,1748,152,5372,247
0500000US41003,41003,"Benton County, Oregon",33384,461,6208,341,27176,565
0500000US41005,41005,"Clackamas County, Oregon",146527,937,28175,849,118352,1226
0500000US41007,41007,"Clatsop County, Oregon",15749,366,3583,277,12166,352
0500000US41009,41009,"Columbia County, Oregon",19069,260,4307,308,14762,377
0500000US41011,41011,"Coos County, Oregon",26072,569,6976,412,19096,654
0500000US41013,41013,"Crook County, Oregon",8880,313,2298,213,6582,382
0500000US41015,41015,"Curry County, Oregon",10355,345,3126,315,7229,368
0500000US41017,41017,"Deschutes County, Oregon",64568,876,12607,621,51961,976
0500000US41019,41019,"Douglas County, Oregon",43846,599,11362,508,32484,691
0500000US41021,41021,"Gilliam County, Oregon",883,57,108,33,775,56
0500000US41023,41023,"Grant County, Oregon",3319,161,775,90,2544,172
0500000US41025,41025,"Harney County, Oregon",3113,162,675,114,2438,202
0500000US41027,41027,"Hood River County, Oregon",8144,360,1477,193,6667,417
0500000US41029,41029,"Jackson County, Oregon",83140,854,17484,721,65656,922
0500000US41031,41031,"Jefferson County, Oregon",7882,243,1577,199,6305,307
0500000US41033,41033,"Josephine County, Oregon",34390,589,8832,456,25558,625
0500000US41035,41035,"Klamath County, Oregon",27378,410,5920,372,21458,535
0500000US41037,41037,"Lake County, Oregon",3566,161,870,146,2696,193
0500000US41039,41039,"Lane County, Oregon",144912,977,26747,787,118165,1218
0500000US41041,41041,"Lincoln County, Oregon",20913,524,4772,347,16141,488
0500000US41043,41043,"Linn County, Oregon",44722,532,9469,482,35253,674
0500000US41045,41045,"Malheur County, Oregon",10136,242,1633,157,8503,260
0500000US41047,41047,"Marion County, Oregon",113285,765,22695,781,90590,974
0500000US41049,41049,"Morrow County, Oregon",3741,154,697,130,3044,173
0500000US41051,41051,"Multnomah County, Oregon",305939,1489,43020,956,262919,1614
0500000US41053,41053,"Polk County, Oregon",28239,469,5960,349,22279,581
0500000US41055,41055,"Sherman County, Oregon",827,61,164,40,663,51
0500000US41057,41057,"Tillamook County, Oregon",10236,340,2536,213,7700,366
0500000US41059,41059,"Umatilla County, Oregon",26744,355,4727,315,22017,446
0500000US41061,41061,"Union County, Oregon",10235,204,2042,172,8193,263
0500000US41063,41063,"Wallowa County, Oregon",2996,154,825,84,2171,165
0500000US41065,41065,"Wasco County, Oregon",9612,296,2405,225,7207,341
0500000US41067,41067,"Washington County, Oregon",201771,975,28264,781,173507,1179
0500000US41069,41069,"Wheeler County, Oregon",625,47,153,27,472,42
0500000US41071,41071,"Yamhill County, Oregon",34138,503,6300,391,27838,618
