GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45
0500000US41019,41019,"Douglas County, Oregon",30163,645,16885,648,1525,254,0,28,7,11,1518,254,2479,306,70,43,443,144,1966,273,2399,269,306,118,610,148,1483,230,4299,438,1187,231,1799,249,1313,231,6105,434,3555,367,1960,253,590,135,78,49,13278,601,3149,338,713,191,632,140,1804,280,3394,345,2316,286,816,181,262,98,2376,256,2335,251,38,32,3,4,2429,360,2398,363,31,32,0,28,1851,254,1851,254,0,28,0,28,79,51
0500000US41021,41021,"Gilliam County, Oregon",559,62,294,50,11,12,0,12,0,12,11,12,53,23,0,12,7,8,46,22,32,16,5,5,13,9,14,13,83,30,27,17,52,26,4,6,108,33,94,32,10,7,4,5,7,11,265,47,71,28,14,15,8,7,49,22,39,18,31,17,8,7,0,12,38,18,35,17,3,4,0,12,67,30,67,30,0,12,0,12,50,22,50,22,0,12,0,12,0,12
0500000US41023,41023,"Grant County, Oregon",2335,129,1136,146,133,48,0,17,3,4,130,48,234,63,11,11,70,34,153,54,128,45,31,22,44,23,53,29,228,49,101,32,71,30,56,28,410,98,293,75,34,16,83,79,3,4,1199,115,340,76,93,55,101,37,146,45,300,64,266,60,22,11,12,10,209,55,199,55,8,11,2,3,165,51,164,50,0,17,1,2,181,54,181,54,0,17,0,17,4,7
0500000US41025,41025,"Harney County, Oregon",2020,135,1021,126,113,55,16,27,8,14,89,50,94,51,0,17,31,28,63,40,209,89,29,34,92,58,88,48,293,74,171,63,75,50,47,33,302,85,248,77,27,27,27,24,10,16,999,154,224,84,51,35,50,37,123,67,272,78,199,76,21,15,52,44,177,73,151,69,26,23,0,17,178,71,177,71,1,2,0,17,142,66,142,66,0,17,0,17,6,8
0500000US41027,41027,"Hood River County, Oregon",5383,289,3376,264,158,92,0,22,0,22,158,92,180,91,17,23,24,25,139,78,333,98,13,19,38,36,282,95,803,182,107,46,256,101,440,155,1887,215,720,156,702,156,465,159,15,25,2007,190,268,106,31,31,65,57,172,85,422,106,264,91,115,59,43,43,270,88,221,81,49,52,0,22,517,141,517,141,0,22,0,22,530,129,530,129,0,22,0,22,0,22
0500000US41029,41029,"Jackson County, Oregon",51747,1194,32573,1066,2383,327,0,28,17,22,2366,329,3530,360,49,39,158,70,3323,350,4930,461,436,128,858,183,3636,417,8303,562,1573,288,3072,404,3658,401,13244,782,6378,608,4944,455,1922,320,183,104,19174,769,3866,393,557,185,532,129,2777,366,4561,418,2405,336,1658,275,498,158,3313,376,2715,357,552,164,46,46,3126,355,3069,345,30,27,27,32,4130,399,4118,398,12,20,0,28,178,99
0500000US41031,41031,"Jefferson County, Oregon",5156,267,3204,264,242,100,0,22,0,22,242,100,443,103,7,8,27,21,409,102,652,146,128,82,233,87,291,85,746,176,190,68,352,151,204,97,1079,181,607,127,317,124,155,75,42,40,1952,223,396,117,130,67,129,60,137,55,430,106,256,94,140,61,34,36,300,97,281,93,1,2,18,20,457,95,447,93,10,16,0,22,367,95,367,95,0,22,0,22,2,4
0500000US41033,41033,"Josephine County, Oregon",22777,720,13536,664,1402,235,0,28,14,23,1388,236,2153,300,111,72,187,79,1855,318,2259,369,280,118,621,178,1358,268,3175,364,881,232,1292,252,1002,183,4447,396,2612,317,1366,248,469,128,100,69,9241,548,2371,287,664,184,591,150,1116,208,2165,283,1547,241,420,146,198,86,1548,205,1456,191,83,58,9,14,1481,233,1447,231,34,27,0,28,1543,225,1543,225,0,28,0,28,133,67
0500000US41035,41035,"Klamath County, Oregon",18017,469,10886,492,1095,252,0,28,0,28,1095,252,1678,230,92,57,242,96,1344,208,1647,261,244,95,604,155,799,194,2398,286,624,144,1134,223,640,164,4006,356,2844,294,776,168,386,125,62,48,7131,429,1480,231,293,93,471,154,716,154,1640,249,1286,217,245,108,109,79,1349,223,1270,224,64,53,15,18,1459,219,1420,218,39,31,0,28,1093,190,1093,190,0,28,0,28,110,81
0500000US41037,41037,"Lake County, Oregon",2361,167,1138,156,204,89,0,17,4,7,200,89,134,65,49,49,28,30,57,39,101,69,6,9,61,60,34,27,289,102,100,53,115,70,74,54,410,92,261,88,131,61,18,21,0,17,1223,161,324,93,83,50,122,53,119,84,327,95,234,80,26,30,67,62,199,78,194,79,5,9,0,17,190,58,190,58,0,17,0,17,177,63,177,63,0,17,0,17,6,8
