"","fips","familyCode","weight"
"155",41011,"a2i0p2s0t0",0.0081092
"156",41013,"a2i0p2s0t0",0.0062468
"157",41015,"a2i0p2s0t0",0.0103596
"158",41017,"a2i0p2s0t0",0.0080316
"159",41019,"a2i0p2s0t0",0.006596
"160",41021,"a2i0p2s0t0",0.00582
"161",41023,"a2i0p2s0t0",0.00582
"162",41025,"a2i0p2s0t0",0.006014
"163",41027,"a2i0p2s0t0",0.0093896
"164",41029,"a2i0p2s0t0",0.0093508
"165",41031,"a2i0p2s0t0",0.0040352
"166",41033,"a2i0p2s0t0",0.0078764
"167",41035,"a2i0p2s0t0",0.0062856
"168",41037,"a2i0p2s0t0",0.0095836
"169",41039,"a2i0p2s0t0",0.0084584
"170",41041,"a2i0p2s0t0",0.0071392
"171",41043,"a2i0p2s0t0",0.0092732
"172",41045,"a2i0p2s0t0",0.00776
"173",41047,"a2i0p2s0t0",0.008148
"174",41049,"a2i0p2s0t0",0.0071392
"175",41051,"a2i0p2s0t0",0.0117952
"176",41053,"a2i0p2s0t0",0.0067512
"177",41055,"a2i0p2s0t0",0.006402
"178",41057,"a2i0p2s0t0",0.0081092
"179",41059,"a2i0p2s0t0",0.00679
"180",41061,"a2i0p2s0t0",0.0074496
"181",41063,"a2i0p2s0t0",0.0072556
"182",41065,"a2i0p2s0t0",0.0091568
"183",41067,"a2i0p2s0t0",0.009894
"184",41069,"a2i0p2s0t0",0.0041516
"185",41071,"a2i0p2s0t0",0.007954
"186",41,"a2i0p1s1t0",0.0210865
"187",41001,"a2i0p1s1t0",0.0214485
"188",41003,"a2i0p1s1t0",0.0209055
"189",41005,"a2i0p1s1t0",0.0181
"190",41007,"a2i0p1s1t0",0.0228965
"191",41009,"a2i0p1s1t0",0.0172855
"192",41011,"a2i0p1s1t0",0.0189145
"193",41013,"a2i0p1s1t0",0.0145705
"194",41015,"a2i0p1s1t0",0.0241635
"195",41017,"a2i0p1s1t0",0.0187335
"196",41019,"a2i0p1s1t0",0.015385
"197",41021,"a2i0p1s1t0",0.013575
"198",41023,"a2i0p1s1t0",0.013575
"199",41025,"a2i0p1s1t0",0.0140275
"200",41027,"a2i0p1s1t0",0.021901
"201",41029,"a2i0p1s1t0",0.0218105
"202",41031,"a2i0p1s1t0",0.009412
"203",41033,"a2i0p1s1t0",0.0183715
"204",41035,"a2i0p1s1t0",0.014661
"205",41037,"a2i0p1s1t0",0.0223535
"206",41039,"a2i0p1s1t0",0.019729
"207",41041,"a2i0p1s1t0",0.016652
"208",41043,"a2i0p1s1t0",0.0216295
"209",41045,"a2i0p1s1t0",0.0181
"210",41047,"a2i0p1s1t0",0.019005
"211",41049,"a2i0p1s1t0",0.016652
"212",41051,"a2i0p1s1t0",0.027512
"213",41053,"a2i0p1s1t0",0.015747
"214",41055,"a2i0p1s1t0",0.0149325
"215",41057,"a2i0p1s1t0",0.0189145
"216",41059,"a2i0p1s1t0",0.0158375
"217",41061,"a2i0p1s1t0",0.017376
"218",41063,"a2i0p1s1t0",0.0169235
"219",41065,"a2i0p1s1t0",0.021358
"220",41067,"a2i0p1s1t0",0.0230775
"221",41069,"a2i0p1s1t0",0.0096835
"222",41071,"a2i0p1s1t0",0.0185525
"223",41,"a2i0p1s0t1",0.0180808
"224",41001,"a2i0p1s0t1",0.0183912
"225",41003,"a2i0p1s0t1",0.0179256
"226",41005,"a2i0p1s0t1",0.01552
"227",41007,"a2i0p1s0t1",0.0196328
"228",41009,"a2i0p1s0t1",0.0148216
"229",41011,"a2i0p1s0t1",0.0162184
"230",41013,"a2i0p1s0t1",0.0124936
"231",41015,"a2i0p1s0t1",0.0207192
"232",41017,"a2i0p1s0t1",0.0160632
"233",41019,"a2i0p1s0t1",0.013192
"234",41021,"a2i0p1s0t1",0.01164
"235",41023,"a2i0p1s0t1",0.01164
"236",41025,"a2i0p1s0t1",0.012028
"237",41027,"a2i0p1s0t1",0.0187792
"238",41029,"a2i0p1s0t1",0.0187016
"239",41031,"a2i0p1s0t1",0.0080704
"240",41033,"a2i0p1s0t1",0.0157528
"241",41035,"a2i0p1s0t1",0.0125712
"242",41037,"a2i0p1s0t1",0.0191672
"243",41039,"a2i0p1s0t1",0.0169168
"244",41041,"a2i0p1s0t1",0.0142784
"245",41043,"a2i0p1s0t1",0.0185464
"246",41045,"a2i0p1s0t1",0.01552
"247",41047,"a2i0p1s0t1",0.016296
"248",41049,"a2i0p1s0t1",0.0142784
"249",41051,"a2i0p1s0t1",0.0235904
"250",41053,"a2i0p1s0t1",0.0135024
"251",41055,"a2i0p1s0t1",0.012804
"252",41057,"a2i0p1s0t1",0.0162184
"253",41059,"a2i0p1s0t1",0.01358
"254",41061,"a2i0p1s0t1",0.0148992
"255",41063,"a2i0p1s0t1",0.0145112
"256",41065,"a2i0p1s0t1",0.0183136
"257",41067,"a2i0p1s0t1",0.019788
"258",41069,"a2i0p1s0t1",0.0083032
"259",41071,"a2i0p1s0t1",0.015908
"260",41,"a2i0p0s2t0",0.0492096
"261",41001,"a2i0p0s2t0",0.0500544
"262",41003,"a2i0p0s2t0",0.0487872
"263",41005,"a2i0p0s2t0",0.04224
"264",41007,"a2i0p0s2t0",0.0534336
"265",41009,"a2i0p0s2t0",0.0403392
"266",41011,"a2i0p0s2t0",0.0441408
"267",41013,"a2i0p0s2t0",0.0340032
"268",41015,"a2i0p0s2t0",0.0563904
"269",41017,"a2i0p0s2t0",0.0437184
"270",41019,"a2i0p0s2t0",0.035904
"271",41021,"a2i0p0s2t0",0.03168
"272",41023,"a2i0p0s2t0",0.03168
"273",41025,"a2i0p0s2t0",0.032736
"274",41027,"a2i0p0s2t0",0.0511104
"275",41029,"a2i0p0s2t0",0.0508992
"276",41031,"a2i0p0s2t0",0.0219648
"277",41033,"a2i0p0s2t0",0.0428736
"278",41035,"a2i0p0s2t0",0.0342144
"279",41037,"a2i0p0s2t0",0.0521664
"280",41039,"a2i0p0s2t0",0.0460416
"281",41041,"a2i0p0s2t0",0.0388608
"282",41043,"a2i0p0s2t0",0.0504768
"283",41045,"a2i0p0s2t0",0.04224
"284",41047,"a2i0p0s2t0",0.044352
"285",41049,"a2i0p0s2t0",0.0388608
"286",41051,"a2i0p0s2t0",0.0642048
"287",41053,"a2i0p0s2t0",0.0367488
"288",41055,"a2i0p0s2t0",0.034848
"289",41057,"a2i0p0s2t0",0.0441408
"290",41059,"a2i0p0s2t0",0.03696
"291",41061,"a2i0p0s2t0",0.0405504
"292",41063,"a2i0p0s2t0",0.0394944
"293",41065,"a2i0p0s2t0",0.0498432
"294",41067,"a2i0p0s2t0",0.053856
"295",41069,"a2i0p0s2t0",0.0225984
"296",41071,"a2i0p0s2t0",0.043296
"297",41,"a2i0p0s1t1",0.042173
"298",41001,"a2i0p0s1t1",0.042897
"299",41003,"a2i0p0s1t1",0.041811
"300",41005,"a2i0p0s1t1",0.0362
"301",41007,"a2i0p0s1t1",0.045793
"302",41009,"a2i0p0s1t1",0.034571
"303",41011,"a2i0p0s1t1",0.037829
"304",41013,"a2i0p0s1t1",0.029141
"305",41015,"a2i0p0s1t1",0.048327
"306",41017,"a2i0p0s1t1",0.037467
"307",41019,"a2i0p0s1t1",0.03077
"308",41021,"a2i0p0s1t1",0.02715
"309",41023,"a2i0p0s1t1",0.02715
"310",41025,"a2i0p0s1t1",0.028055
"311",41027,"a2i0p0s1t1",0.043802
"312",41029,"a2i0p0s1t1",0.043621
"313",41031,"a2i0p0s1t1",0.018824
"314",41033,"a2i0p0s1t1",0.036743
"315",41035,"a2i0p0s1t1",0.029322
"316",41037,"a2i0p0s1t1",0.044707
"317",41039,"a2i0p0s1t1",0.039458
"318",41041,"a2i0p0s1t1",0.033304
"319",41043,"a2i0p0s1t1",0.043259
"320",41045,"a2i0p0s1t1",0.0362
"321",41047,"a2i0p0s1t1",0.03801
"322",41049,"a2i0p0s1t1",0.033304
"323",41051,"a2i0p0s1t1",0.055024
"324",41053,"a2i0p0s1t1",0.031494
"325",41055,"a2i0p0s1t1",0.029865
"326",41057,"a2i0p0s1t1",0.037829
"327",41059,"a2i0p0s1t1",0.031675
"328",41061,"a2i0p0s1t1",0.034752
"329",41063,"a2i0p0s1t1",0.033847
"330",41065,"a2i0p0s1t1",0.042716
"331",41067,"a2i0p0s1t1",0.046155
"332",41069,"a2i0p0s1t1",0.019367
"333",41071,"a2i0p0s1t1",0.037105
"334",41,"a2i0p0s0t2",0.0361616
"335",41001,"a2i0p0s0t2",0.0367824
"336",41003,"a2i0p0s0t2",0.0358512
"337",41005,"a2i0p0s0t2",0.03104
"338",41007,"a2i0p0s0t2",0.0392656
"339",41009,"a2i0p0s0t2",0.0296432
"340",41011,"a2i0p0s0t2",0.0324368
"341",41013,"a2i0p0s0t2",0.0249872
"342",41015,"a2i0p0s0t2",0.0414384
"343",41017,"a2i0p0s0t2",0.0321264
"344",41019,"a2i0p0s0t2",0.026384
"345",41021,"a2i0p0s0t2",0.02328
"346",41023,"a2i0p0s0t2",0.02328
"347",41025,"a2i0p0s0t2",0.024056
"348",41027,"a2i0p0s0t2",0.0375584
"349",41029,"a2i0p0s0t2",0.0374032
"350",41031,"a2i0p0s0t2",0.0161408
"351",41033,"a2i0p0s0t2",0.0315056
"352",41035,"a2i0p0s0t2",0.0251424
"353",41037,"a2i0p0s0t2",0.0383344
"354",41039,"a2i0p0s0t2",0.0338336
"355",41041,"a2i0p0s0t2",0.0285568
"356",41043,"a2i0p0s0t2",0.0370928
"357",41045,"a2i0p0s0t2",0.03104
"358",41047,"a2i0p0s0t2",0.032592
"359",41049,"a2i0p0s0t2",0.0285568
"360",41051,"a2i0p0s0t2",0.0471808
"361",41053,"a2i0p0s0t2",0.0270048
"362",41055,"a2i0p0s0t2",0.025608
"363",41057,"a2i0p0s0t2",0.0324368
"364",41059,"a2i0p0s0t2",0.02716
"365",41061,"a2i0p0s0t2",0.0297984
"366",41063,"a2i0p0s0t2",0.0290224
"367",41065,"a2i0p0s0t2",0.0366272
"368",41067,"a2i0p0s0t2",0.039576
"369",41069,"a2i0p0s0t2",0.0166064
"370",41071,"a2i0p0s0t2",0.031816
"371",41,"a1i2p0s0t0",0.0174212
"372",41001,"a1i2p0s0t0",0.0167616
"373",41003,"a1i2p0s0t0",0.0179256
"374",41005,"a1i2p0s0t0",0.0156364
"375",41007,"a1i2p0s0t0",0.0165288
"376",41009,"a1i2p0s0t0",0.0150932
"377",41011,"a1i2p0s0t0",0.0148604
"378",41013,"a1i2p0s0t0",0.0160244
"379",41015,"a1i2p0s0t0",0.0179644
"380",41017,"a1i2p0s0t0",0.0165288
"381",41019,"a1i2p0s0t0",0.0150156
"382",41021,"a1i2p0s0t0",0.0093896
"383",41023,"a1i2p0s0t0",0.0145888
"384",41025,"a1i2p0s0t0",0.0181972
"385",41027,"a1i2p0s0t0",0.0173436
"386",41029,"a1i2p0s0t0",0.0178092
"387",41031,"a1i2p0s0t0",0.013968
"388",41033,"a1i2p0s0t0",0.0145888
"389",41035,"a1i2p0s0t0",0.0147052
"390",41037,"a1i2p0s0t0",0.0149768
"391",41039,"a1i2p0s0t0",0.0162572
"392",41041,"a1i2p0s0t0",0.0160244
"393",41043,"a1i2p0s0t0",0.0169944
"394",41045,"a1i2p0s0t0",0.0176152
"395",41047,"a1i2p0s0t0",0.0176152
"396",41049,"a1i2p0s0t0",0.0202536
"397",41051,"a1i2p0s0t0",0.0199432
"398",41053,"a1i2p0s0t0",0.0167228
"399",41055,"a1i2p0s0t0",0.014162
"400",41057,"a1i2p0s0t0",0.018624
"401",41059,"a1i2p0s0t0",0.0163736
"402",41061,"a1i2p0s0t0",0.0160632
"403",41063,"a1i2p0s0t0",0.0173824
"404",41065,"a1i2p0s0t0",0.0175376
"405",41067,"a1i2p0s0t0",0.0183524
"406",41069,"a1i2p0s0t0",0.0069452
"407",41071,"a1i2p0s0t0",0.016102
"408",41,"a1i1p1s0t0",0.0174212
"409",41001,"a1i1p1s0t0",0.0167616
"410",41003,"a1i1p1s0t0",0.0179256
"411",41005,"a1i1p1s0t0",0.0156364
"412",41007,"a1i1p1s0t0",0.0165288
"413",41009,"a1i1p1s0t0",0.0150932
"414",41011,"a1i1p1s0t0",0.0148604
"415",41013,"a1i1p1s0t0",0.0160244
"416",41015,"a1i1p1s0t0",0.0179644
"417",41017,"a1i1p1s0t0",0.0165288
"418",41019,"a1i1p1s0t0",0.0150156
"419",41021,"a1i1p1s0t0",0.0093896
"420",41023,"a1i1p1s0t0",0.0145888
"421",41025,"a1i1p1s0t0",0.0181972
"422",41027,"a1i1p1s0t0",0.0173436
"423",41029,"a1i1p1s0t0",0.0178092
"424",41031,"a1i1p1s0t0",0.013968
"425",41033,"a1i1p1s0t0",0.0145888
"426",41035,"a1i1p1s0t0",0.0147052
"427",41037,"a1i1p1s0t0",0.0149768
"428",41039,"a1i1p1s0t0",0.0162572
"429",41041,"a1i1p1s0t0",0.0160244
"430",41043,"a1i1p1s0t0",0.0169944
"431",41045,"a1i1p1s0t0",0.0176152
"432",41047,"a1i1p1s0t0",0.0176152
"433",41049,"a1i1p1s0t0",0.0202536
"434",41051,"a1i1p1s0t0",0.0199432
"435",41053,"a1i1p1s0t0",0.0167228
"436",41055,"a1i1p1s0t0",0.014162
"437",41057,"a1i1p1s0t0",0.018624
"438",41059,"a1i1p1s0t0",0.0163736
"439",41061,"a1i1p1s0t0",0.0160632
"440",41063,"a1i1p1s0t0",0.0173824
"441",41065,"a1i1p1s0t0",0.0175376
"442",41067,"a1i1p1s0t0",0.0183524
"443",41069,"a1i1p1s0t0",0.0069452
"444",41071,"a1i1p1s0t0",0.016102
"445",41,"a1i1p0s1t0",0.0406345
"446",41001,"a1i1p0s1t0",0.039096
"447",41003,"a1i1p0s1t0",0.041811
"448",41005,"a1i1p0s1t0",0.0364715
"449",41007,"a1i1p0s1t0",0.038553
"450",41009,"a1i1p0s1t0",0.0352045
"451",41011,"a1i1p0s1t0",0.0346615
"452",41013,"a1i1p0s1t0",0.0373765
"453",41015,"a1i1p0s1t0",0.0419015
"454",41017,"a1i1p0s1t0",0.038553
"455",41019,"a1i1p0s1t0",0.0350235
"456",41021,"a1i1p0s1t0",0.021901
"457",41023,"a1i1p0s1t0",0.034028
"458",41025,"a1i1p0s1t0",0.0424445
"459",41027,"a1i1p0s1t0",0.0404535
"460",41029,"a1i1p0s1t0",0.0415395
"461",41031,"a1i1p0s1t0",0.03258
"462",41033,"a1i1p0s1t0",0.034028
"463",41035,"a1i1p0s1t0",0.0342995
"464",41037,"a1i1p0s1t0",0.034933
"465",41039,"a1i1p0s1t0",0.0379195
"466",41041,"a1i1p0s1t0",0.0373765
"467",41043,"a1i1p0s1t0",0.039639
"468",41045,"a1i1p0s1t0",0.041087
"469",41047,"a1i1p0s1t0",0.041087
"470",41049,"a1i1p0s1t0",0.047241
"471",41051,"a1i1p0s1t0",0.046517
"472",41053,"a1i1p0s1t0",0.0390055
"473",41055,"a1i1p0s1t0",0.0330325
"474",41057,"a1i1p0s1t0",0.04344
"475",41059,"a1i1p0s1t0",0.038191
"476",41061,"a1i1p0s1t0",0.037467
"477",41063,"a1i1p0s1t0",0.040544
"478",41065,"a1i1p0s1t0",0.040906
"479",41067,"a1i1p0s1t0",0.0428065
"480",41069,"a1i1p0s1t0",0.0161995
"481",41071,"a1i1p0s1t0",0.0375575
"482",41,"a1i1p0s0t1",0.0348424
"483",41001,"a1i1p0s0t1",0.0335232
"484",41003,"a1i1p0s0t1",0.0358512
"485",41005,"a1i1p0s0t1",0.0312728
"486",41007,"a1i1p0s0t1",0.0330576
"487",41009,"a1i1p0s0t1",0.0301864
"488",41011,"a1i1p0s0t1",0.0297208
"489",41013,"a1i1p0s0t1",0.0320488
"490",41015,"a1i1p0s0t1",0.0359288
"491",41017,"a1i1p0s0t1",0.0330576
"492",41019,"a1i1p0s0t1",0.0300312
"493",41021,"a1i1p0s0t1",0.0187792
"494",41023,"a1i1p0s0t1",0.0291776
"495",41025,"a1i1p0s0t1",0.0363944
"496",41027,"a1i1p0s0t1",0.0346872
"497",41029,"a1i1p0s0t1",0.0356184
"498",41031,"a1i1p0s0t1",0.027936
"499",41033,"a1i1p0s0t1",0.0291776
"500",41035,"a1i1p0s0t1",0.0294104
"501",41037,"a1i1p0s0t1",0.0299536
"502",41039,"a1i1p0s0t1",0.0325144
"503",41041,"a1i1p0s0t1",0.0320488
"504",41043,"a1i1p0s0t1",0.0339888
"505",41045,"a1i1p0s0t1",0.0352304
"506",41047,"a1i1p0s0t1",0.0352304
"507",41049,"a1i1p0s0t1",0.0405072
"508",41051,"a1i1p0s0t1",0.0398864
"509",41053,"a1i1p0s0t1",0.0334456
"510",41055,"a1i1p0s0t1",0.028324
"511",41057,"a1i1p0s0t1",0.037248
"512",41059,"a1i1p0s0t1",0.0327472
"513",41061,"a1i1p0s0t1",0.0321264
"514",41063,"a1i1p0s0t1",0.0347648
"515",41065,"a1i1p0s0t1",0.0350752
"516",41067,"a1i1p0s0t1",0.0367048
"517",41069,"a1i1p0s0t1",0.0138904
"518",41071,"a1i1p0s0t1",0.032204
"519",41,"a1i0p2s0t0",0.0174212
"520",41001,"a1i0p2s0t0",0.0167616
"521",41003,"a1i0p2s0t0",0.0179256
"522",41005,"a1i0p2s0t0",0.0156364
"523",41007,"a1i0p2s0t0",0.0165288
"524",41009,"a1i0p2s0t0",0.0150932
"525",41011,"a1i0p2s0t0",0.0148604
"526",41013,"a1i0p2s0t0",0.0160244
"527",41015,"a1i0p2s0t0",0.0179644
"528",41017,"a1i0p2s0t0",0.0165288
"529",41019,"a1i0p2s0t0",0.0150156
"530",41021,"a1i0p2s0t0",0.0093896
"531",41023,"a1i0p2s0t0",0.0145888
"532",41025,"a1i0p2s0t0",0.0181972
"533",41027,"a1i0p2s0t0",0.0173436
"534",41029,"a1i0p2s0t0",0.0178092
"535",41031,"a1i0p2s0t0",0.013968
"536",41033,"a1i0p2s0t0",0.0145888
"537",41035,"a1i0p2s0t0",0.0147052
"538",41037,"a1i0p2s0t0",0.0149768
"539",41039,"a1i0p2s0t0",0.0162572
"540",41041,"a1i0p2s0t0",0.0160244
"541",41043,"a1i0p2s0t0",0.0169944
"542",41045,"a1i0p2s0t0",0.0176152
"543",41047,"a1i0p2s0t0",0.0176152
"544",41049,"a1i0p2s0t0",0.0202536
"545",41051,"a1i0p2s0t0",0.0199432
"546",41053,"a1i0p2s0t0",0.0167228
"547",41055,"a1i0p2s0t0",0.014162
"548",41057,"a1i0p2s0t0",0.018624
"549",41059,"a1i0p2s0t0",0.0163736
"550",41061,"a1i0p2s0t0",0.0160632
"551",41063,"a1i0p2s0t0",0.0173824
"552",41065,"a1i0p2s0t0",0.0175376
"553",41067,"a1i0p2s0t0",0.0183524
"554",41069,"a1i0p2s0t0",0.0069452
"555",41071,"a1i0p2s0t0",0.016102
"556",41,"a1i0p1s1t0",0.0406345
"557",41001,"a1i0p1s1t0",0.039096
"558",41003,"a1i0p1s1t0",0.041811
"559",41005,"a1i0p1s1t0",0.0364715
"560",41007,"a1i0p1s1t0",0.038553
"561",41009,"a1i0p1s1t0",0.0352045
"562",41011,"a1i0p1s1t0",0.0346615
"563",41013,"a1i0p1s1t0",0.0373765
"564",41015,"a1i0p1s1t0",0.0419015
"565",41017,"a1i0p1s1t0",0.038553
"566",41019,"a1i0p1s1t0",0.0350235
"567",41021,"a1i0p1s1t0",0.021901
"568",41023,"a1i0p1s1t0",0.034028
"569",41025,"a1i0p1s1t0",0.0424445
"570",41027,"a1i0p1s1t0",0.0404535
"571",41029,"a1i0p1s1t0",0.0415395
"572",41031,"a1i0p1s1t0",0.03258
"573",41033,"a1i0p1s1t0",0.034028
"574",41035,"a1i0p1s1t0",0.0342995
"575",41037,"a1i0p1s1t0",0.034933
"576",41039,"a1i0p1s1t0",0.0379195
"577",41041,"a1i0p1s1t0",0.0373765
"578",41043,"a1i0p1s1t0",0.039639
"579",41045,"a1i0p1s1t0",0.041087
"580",41047,"a1i0p1s1t0",0.041087
"581",41049,"a1i0p1s1t0",0.047241
"582",41051,"a1i0p1s1t0",0.046517
"583",41053,"a1i0p1s1t0",0.0390055
"584",41055,"a1i0p1s1t0",0.0330325
"585",41057,"a1i0p1s1t0",0.04344
"586",41059,"a1i0p1s1t0",0.038191
"587",41061,"a1i0p1s1t0",0.037467
"588",41063,"a1i0p1s1t0",0.040544
"589",41065,"a1i0p1s1t0",0.040906
"590",41067,"a1i0p1s1t0",0.0428065
