familyType,housing,food,childcare,healthcare,transportation,taxes,miscellaneous
marriedParents,841.9043456,814.3783428,943.9476273,480.2659016,441.8919077,767.1027266,352.2388125
singleParent,841.9043456,608.2250585,905.601227,425.2938481,230.5044043,691.0326724,301.1528884
singleAdult,673.4308201,249.9330215,0,126.6822625,224.6976353,332.447497,127.4743739
