"","fips","familyCode","ageAdjustment","marriedUnder6","marriedOver6","marriedBoth","unmarriedUnder6","unmarriedOver6","unmarriedBoth"
"68",41005,"a1i0p0s2t0",0.2899,0.2,0.597,0.203,0.8,0.403,0.797
"69",41005,"a1i0p0s1t1",0.497,0.2,0.597,0.203,0.8,0.403,0.797
"70",41005,"a1i0p0s0t2",0.213,0.2,0.597,0.203,0.8,0.403,0.797
"71",41005,"a2i2p0s0t0",0.25,0.2,0.597,0.203,0.8,0.403,0.797
"72",41005,"a2i1p1s0t0",0.5,0.2,0.597,0.203,0.8,0.403,0.797
"73",41005,"a2i1p0s1t0",0.2692,0.2,0.597,0.203,0.8,0.403,0.797
"74",41005,"a2i1p0s0t1",0.2308,0.2,0.597,0.203,0.8,0.403,0.797
"75",41005,"a2i0p2s0t0",0.25,0.2,0.597,0.203,0.8,0.403,0.797
"76",41005,"a2i0p1s1t0",0.2692,0.2,0.597,0.203,0.8,0.403,0.797
"77",41005,"a2i0p1s0t1",0.2308,0.2,0.597,0.203,0.8,0.403,0.797
"78",41005,"a2i0p0s2t0",0.2899,0.2,0.597,0.203,0.8,0.403,0.797
"79",41005,"a2i0p0s1t1",0.497,0.2,0.597,0.203,0.8,0.403,0.797
"80",41005,"a2i0p0s0t2",0.213,0.2,0.597,0.203,0.8,0.403,0.797
"81",41007,"a1i2p0s0t0",0.25,0.253,0.574,0.173,0.747,0.426,0.827
"82",41007,"a1i1p1s0t0",0.5,0.253,0.574,0.173,0.747,0.426,0.827
"83",41007,"a1i1p0s1t0",0.2692,0.253,0.574,0.173,0.747,0.426,0.827
"84",41007,"a1i1p0s0t1",0.2308,0.253,0.574,0.173,0.747,0.426,0.827
"85",41007,"a1i0p2s0t0",0.25,0.253,0.574,0.173,0.747,0.426,0.827
"86",41007,"a1i0p1s1t0",0.2692,0.253,0.574,0.173,0.747,0.426,0.827
"87",41007,"a1i0p1s0t1",0.2308,0.253,0.574,0.173,0.747,0.426,0.827
"88",41007,"a1i0p0s2t0",0.2899,0.253,0.574,0.173,0.747,0.426,0.827
"89",41007,"a1i0p0s1t1",0.497,0.253,0.574,0.173,0.747,0.426,0.827
"90",41007,"a1i0p0s0t2",0.213,0.253,0.574,0.173,0.747,0.426,0.827
"91",41007,"a2i2p0s0t0",0.25,0.253,0.574,0.173,0.747,0.426,0.827
"92",41007,"a2i1p1s0t0",0.5,0.253,0.574,0.173,0.747,0.426,0.827
"93",41007,"a2i1p0s1t0",0.2692,0.253,0.574,0.173,0.747,0.426,0.827
