GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Married-couple family:,Margin of Error; Married-couple family:,Estimate; Married-couple family: - With related children under 18 years:,Margin of Error; Married-couple family: - With related children under 18 years:,Estimate; Married-couple family: - With related children under 18 years: - Under 6 years only,Margin of Error; Married-couple family: - With related children under 18 years: - Under 6 years only,Estimate; Married-couple family: - With related children under 18 years: - Under 6 years and 6 to 17 years,Margin of Error; Married-couple family: - With related children under 18 years: - Under 6 years and 6 to 17 years,Estimate; Married-couple family: - With related children under 18 years: - 6 to 17 years only,Margin of Error; Married-couple family: - With related children under 18 years: - 6 to 17 years only,Estimate; Married-couple family: - No related children under 18 years,Margin of Error; Married-couple family: - No related children under 18 years,Estimate; Other family:,Margin of Error; Other family:,"Estimate; Other family: - Male householder, no wife present:","Margin of Error; Other family: - Male householder, no wife present:","Estimate; Other family: - Male householder, no wife present: - With related children under 18 years:","Margin of Error; Other family: - Male householder, no wife present: - With related children under 18 years:","Estimate; Other family: - Male householder, no wife present: - With related children under 18 years: - Under 6 years only","Margin of Error; Other family: - Male householder, no wife present: - With related children under 18 years: - Under 6 years only","Estimate; Other family: - Male householder, no wife present: - With related children under 18 years: - Under 6 years and 6 to 17 years","Margin of Error; Other family: - Male householder, no wife present: - With related children under 18 years: - Under 6 years and 6 to 17 years","Estimate; Other family: - Male householder, no wife present: - With related children under 18 years: - 6 to 17 years only","Margin of Error; Other family: - Male householder, no wife present: - With related children under 18 years: - 6 to 17 years only","Estimate; Other family: - Male householder, no wife present: - No related children under 18 years","Margin of Error; Other family: - Male householder, no wife present: - No related children under 18 years","Estimate; Other family: - Female householder, no husband present:","Margin of Error; Other family: - Female householder, no husband present:","Estimate; Other family: - Female householder, no husband present: - With related children under 18 years:","Margin of Error; Other family: - Female householder, no husband present: - With related children under 18 years:","Estimate; Other family: - Female householder, no husband present: - With related children under 18 years: - Under 6 years only","Margin of Error; Other family: - Female householder, no husband present: - With related children under 18 years: - Under 6 years only","Estimate; Other family: - Female householder, no husband present: - With related children under 18 years: - Under 6 years and 6 to 17 years","Margin of Error; Other family: - Female householder, no husband present: - With related children under 18 years: - Under 6 years and 6 to 17 years","Estimate; Other family: - Female householder, no husband present: - With related children under 18 years: - 6 to 17 years only","Margin of Error; Other family: - Female householder, no husband present: - With related children under 18 years: - 6 to 17 years only","Estimate; Other family: - Female householder, no husband present: - No related children under 18 years","Margin of Error; Other family: - Female householder, no husband present: - No related children under 18 years"
0500000US41029,41029,"Jackson County, Oregon",53998,961,40751,957,14525,722,3519,420,3220,455,7786,614,26226,647,13247,796,3494,485,2406,368,681,192,306,126,1419,320,1088,256,9753,689,6610,562,1253,284,1145,252,4212,404,3143,343
0500000US41031,41031,"Jefferson County, Oregon",5506,301,3705,301,1194,200,153,72,295,108,746,173,2511,208,1801,213,753,174,469,116,126,68,114,89,229,84,284,134,1048,185,790,172,323,131,162,66,305,121,258,94
0500000US41033,41033,"Josephine County, Oregon",22009,700,16877,719,4892,430,988,234,940,236,2964,301,11985,561,5132,513,1692,288,1127,236,259,115,166,108,702,180,565,179,3440,432,2133,333,461,160,489,194,1183,233,1307,268
0500000US41035,41035,"Klamath County, Oregon",18313,530,13327,554,4953,399,918,219,1081,225,2954,301,8374,440,4986,374,1728,276,1140,234,437,163,85,57,618,172,588,158,3258,300,2185,290,646,193,322,130,1217,252,1073,183
0500000US41037,41037,"Lake County, Oregon",2148,192,1878,195,664,138,208,99,83,57,373,102,1214,142,270,90,73,46,38,31,8,11,6,9,24,26,35,37,197,82,117,65,38,36,9,14,70,49,80,46
0500000US41039,41039,"Lane County, Oregon",86248,1114,64192,1182,23140,802,5090,465,4887,374,13163,697,41052,937,22056,903,6584,569,4042,502,1111,288,374,133,2557,359,2542,309,15472,716,9840,529,2557,427,1691,359,5592,497,5632,504
0500000US41041,41041,"Lincoln County, Oregon",13045,489,10146,522,2865,312,567,122,711,179,1587,242,7281,395,2899,318,894,208,608,174,115,73,66,56,427,149,286,97,2005,287,1263,197,341,117,157,122,765,158,742,186
0500000US41043,41043,"Linn County, Oregon",30845,638,23866,794,8759,529,2116,360,2003,275,4640,380,15107,623,6979,536,1914,281,1184,224,257,126,223,120,704,167,730,179,5065,434,3637,351,950,204,663,199,2024,295,1428,258
0500000US41045,41045,"Malheur County, Oregon",6879,291,5235,285,2350,204,516,111,609,143,1225,157,2885,206,1644,206,446,116,286,95,125,70,18,21,143,55,160,60,1198,185,804,142,159,88,198,101,447,131,394,115
0500000US41047,41047,"Marion County, Oregon",78306,946,57478,1158,25427,896,5431,524,6542,539,13454,648,32051,766,20828,956,5990,433,3687,409,1077,257,778,233,1832,340,2303,297,14838,848,10712,753,2492,309,2240,358,5980,615,4126,440
0500000US41049,41049,"Morrow County, Oregon",2811,174,2180,155,941,127,178,64,313,81,450,107,1239,116,631,118,210,74,171,65,64,50,31,25,76,42,39,40,421,95,298,82,69,39,90,49,139,57,123,61
0500000US41051,41051,"Multnomah County, Oregon",166106,2192,120361,2049,53193,1425,16340,898,11654,828,25199,907,67168,1337,45745,1344,12661,788,7176,647,2045,378,919,203,4212,497,5485,512,33084,984,21046,871,4993,456,3952,522,12101,718,12038,681
0500000US41053,41053,"Polk County, Oregon",19535,530,15577,530,6151,381,1118,233,1576,267,3457,336,9426,440,3958,409,1146,255,618,177,205,115,102,73,311,122,528,168,2812,380,1881,353,445,197,348,148,1088,238,931,169
0500000US41055,41055,"Sherman County, Oregon",484,47,406,47,126,30,23,12,23,13,80,26,280,38,78,19,22,14,13,13,6,11,3,4,4,5,9,7,56,18,38,16,16,14,0,12,22,10,18,10
0500000US41057,41057,"Tillamook County, Oregon",6575,305,5247,287,1617,189,340,114,431,115,846,157,3630,226,1328,238,437,121,262,97,80,51,35,34,147,68,175,82,891,189,582,156,129,72,112,77,341,112,309,91
0500000US41059,41059,"Umatilla County, Oregon",18424,438,13235,531,5637,379,1027,214,1417,261,3193,298,7598,382,5189,512,1508,263,1059,240,355,147,194,113,510,159,449,131,3681,436,2784,396,647,206,879,231,1258,323,897,180
0500000US41061,41061,"Union County, Oregon",6763,255,5465,287,2004,189,366,103,489,84,1149,160,3461,220,1298,197,478,117,305,96,157,89,17,20,131,54,173,95,820,147,644,134,153,79,165,69,326,97,176,58
0500000US41063,41063,"Wallowa County, Oregon",1847,150,1504,142,341,66,68,32,106,42,167,45,1163,121,343,80,54,31,25,20,13,14,0,17,12,15,29,22,289,78,216,70,25,25,51,38,140,59,73,31
0500000US41065,41065,"Wasco County, Oregon",6484,341,4980,273,1671,198,421,108,357,91,893,175,3309,228,1504,251,363,110,251,90,54,45,9,9,188,77,112,55,1141,214,740,165,200,103,113,56,427,131,401,113
0500000US41067,41067,"Washington County, Oregon",135468,1304,106740,1511,51981,1214,13352,685,11613,680,27016,986,54759,1166,28728,1222,8383,736,4693,555,1150,287,568,184,2975,427,3690,495,20345,989,13606,880,2508,362,2485,363,8613,734,6739,421
0500000US41069,41069,"Wheeler County, Oregon",410,41,359,38,62,19,6,6,4,5,52,18,297,36,51,21,18,15,10,9,7,8,0,12,3,4,8,12,33,16,20,14,1,3,5,7,14,11,13,9
0500000US41071,41071,"Yamhill County, Oregon",24954,680,19591,668,8439,503,1818,304,1874,310,4747,359,11152,446,5363,458,1710,309,1086,255,216,117,222,109,648,227,624,188,3653,366,2454,326,361,125,424,143,1669,285,1199,225
