GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent as a percentage of household income,Margin of Error; Median gross rent as a percentage of household income
0500000US41001,41001,"Baker County, Oregon",29.8,3.4
0500000US41003,41003,"Benton County, Oregon",40.0,2.9
0500000US41005,41005,"Clackamas County, Oregon",30.4,1.0
0500000US41007,41007,"Clatsop County, Oregon",32.8,2.1
0500000US41009,41009,"Columbia County, Oregon",33.7,3.4
0500000US41011,41011,"Coos County, Oregon",34.0,2.1
0500000US41013,41013,"Crook County, Oregon",33.7,3.7
0500000US41015,41015,"Curry County, Oregon",32.2,3.9
0500000US41017,41017,"Deschutes County, Oregon",32.6,1.3
0500000US41019,41019,"Douglas County, Oregon",31.3,1.8
0500000US41021,41021,"Gilliam County, Oregon",24.4,6.0
0500000US41023,41023,"Grant County, Oregon",25.6,3.1
0500000US41025,41025,"Harney County, Oregon",26.9,3.8
0500000US41027,41027,"Hood River County, Oregon",27.2,2.8
0500000US41029,41029,"Jackson County, Oregon",36.6,1.8
0500000US41031,41031,"Jefferson County, Oregon",25.9,2.6
0500000US41033,41033,"Josephine County, Oregon",36.3,1.8
0500000US41035,41035,"Klamath County, Oregon",34.6,2.1
0500000US41037,41037,"Lake County, Oregon",29.5,6.2
0500000US41039,41039,"Lane County, Oregon",34.7,0.9
0500000US41041,41041,"Lincoln County, Oregon",30.6,1.6
0500000US41043,41043,"Linn County, Oregon",31.6,1.3
0500000US41045,41045,"Malheur County, Oregon",36.0,3.5
0500000US41047,41047,"Marion County, Oregon",32.0,1.2
0500000US41049,41049,"Morrow County, Oregon",32.1,4.5
0500000US41051,41051,"Multnomah County, Oregon",32.5,0.6
0500000US41053,41053,"Polk County, Oregon",30.9,2.9
0500000US41055,41055,"Sherman County, Oregon",26.8,10.4
0500000US41057,41057,"Tillamook County, Oregon",29.9,4.9
0500000US41059,41059,"Umatilla County, Oregon",26.9,2.1
0500000US41061,41061,"Union County, Oregon",33.3,4.0
0500000US41063,41063,"Wallowa County, Oregon",30.7,6.6
0500000US41065,41065,"Wasco County, Oregon",33.2,7.0
0500000US41067,41067,"Washington County, Oregon",29.5,0.7
0500000US41069,41069,"Wheeler County, Oregon",21.9,3.4
0500000US41071,41071,"Yamhill County, Oregon",32.0,2.5
