GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16
Id,Id2,Geography,Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total:,Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total:,Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Married-couple family -- - Total,Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Married-couple family -- - Total,Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Married-couple family -- - With own children under 18 years,Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Married-couple family -- - With own children under 18 years,Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Married-couple family -- - No own children under 18 years,Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Married-couple family -- - No own children under 18 years,Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Total,Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Total,"Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - Total","Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - Total","Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - With own children under 18 years","Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - With own children under 18 years","Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - No own children under 18 years","Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - No own children under 18 years","Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - Total","Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - Total","Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - With own children under 18 years","Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - With own children under 18 years","Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - No own children under 18 years","Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - No own children under 18 years"
0500000US41001,41001,"Baker County, Oregon",51199,3083,58029,2801,59524,10190,57759,3420,18750,5258,45000,46280,16510,12603,58188,11126,16835,4220,13470,2553,25714,4186
0500000US41003,41003,"Benton County, Oregon",75012,2512,83858,3014,90158,6087,81868,2408,30813,3938,31531,14978,30383,9032,40521,21474,30451,4363,24547,4225,40754,6684
0500000US41005,41005,"Clackamas County, Oregon",76549,1135,86772,1560,90884,2231,83792,1672,42068,2183,55131,5482,49265,5228,59220,4096,37794,2532,28931,2136,53700,3995
0500000US41007,41007,"Clatsop County, Oregon",54849,4773,66394,3106,69681,7174,64002,4316,24878,3845,32864,4651,32218,6202,34191,6913,22645,2160,16752,2232,34414,4359
0500000US41009,41009,"Columbia County, Oregon",63435,3506,72086,2802,77682,5947,67374,4292,30366,5186,36783,9625,33555,12536,44231,16159,26921,4979,21338,2425,41429,5515
0500000US41011,41011,"Coos County, Oregon",47830,1854,53430,2148,60815,5248,50829,2595,26680,3387,40335,9484,32159,13716,42439,7528,23071,3137,18125,4872,30960,4883
0500000US41013,41013,"Crook County, Oregon",48486,3228,51524,2945,48529,5891,54096,5635,25862,12340,32661,10638,31969,6245,50729,35643,18490,4921,15714,5027,31200,22351
0500000US41015,41015,"Curry County, Oregon",48833,3841,53585,7217,47413,20188,54953,7532,26667,6650,28409,16005,26372,6370,77684,65353,20000,12674,12246,8593,32206,12313
0500000US41017,41017,"Deschutes County, Oregon",61488,1577,68965,2034,74075,2759,65823,2250,30450,3142,33571,7717,27468,5855,46820,12503,29038,3279,23042,2719,38131,2438
