GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD14,HD02_VD14,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22
Id,Id2,Geography,Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male householder -- - Total (dollars),Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male householder -- - Total (dollars),Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male householder -- - Living alone -- - Total (dollars),Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male householder -- - Living alone -- - Total (dollars),Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male householder -- - Living alone -- - Householder 15 to 64 years (dollars),Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male householder -- - Living alone -- - Householder 15 to 64 years (dollars),Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male householder -- - Living alone -- - Householder 65 years and over (dollars),Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male householder -- - Living alone -- - Householder 65 years and over (dollars),Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male householder -- - Not living alone -- - Total (dollars),Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male householder -- - Not living alone -- - Total (dollars),Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male householder -- - Not living alone -- - Householder 15 to 64 years (dollars),Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male householder -- - Not living alone -- - Householder 15 to 64 years (dollars),Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male householder -- - Not living alone -- - Householder 65 years and over (dollars),Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male householder -- - Not living alone -- - Householder 65 years and over (dollars),Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female householder -- - Total (dollars),Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female householder -- - Total (dollars),Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female householder -- - Living alone -- - Total (dollars),Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female householder -- - Living alone -- - Total (dollars),Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female householder -- - Living alone -- - Householder 15 to 64 years (dollars),Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female householder -- - Living alone -- - Householder 15 to 64 years (dollars),Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female householder -- - Living alone -- - Householder 65 years and over (dollars),Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female householder -- - Living alone -- - Householder 65 years and over (dollars),Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female householder -- - Not living alone -- - Total (dollars),Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female householder -- - Not living alone -- - Total (dollars),Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female householder -- - Not living alone -- - Householder 15 to 64 years (dollars),Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female householder -- - Not living alone -- - Householder 15 to 64 years (dollars),Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female householder -- - Not living alone -- - Householder 65 years and over (dollars),Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female householder -- - Not living alone -- - Householder 65 years and over (dollars)
0500000US41001,41001,"Baker County, Oregon",20761,2722,25684,4970,25516,5845,29766,6517,21209,1965,36094,25643,40781,26815,14205,10091,16631,2929,15487,1840,17188,10773,15140,1226,41250,18489,29125,36681,45375,48746
0500000US41003,41003,"Benton County, Oregon",24325,1891,23354,2809,23723,3777,19435,4928,35625,10951,22747,5477,22379,4826,96250,122314,25060,2779,24887,2649,24991,4270,24771,3156,25924,6986,22990,6805,47422,24460
0500000US41005,41005,"Clackamas County, Oregon",37812,1413,42543,1538,38815,2505,41620,1956,31340,2729,59505,10474,62938,11806,52169,18003,34273,1591,30105,1464,37480,2525,24179,1412,60662,7895,61956,8073,55975,11581
0500000US41007,41007,"Clatsop County, Oregon",32320,2647,37500,5639,31034,4342,31392,4864,30121,7464,53750,4769,53136,5071,66250,20473,29202,3918,26829,2312,28750,6285,26031,1742,39567,2470,40577,4392,24750,17435
0500000US41009,41009,"Columbia County, Oregon",25810,3720,32419,5892,29858,6286,32390,6243,22423,2706,55906,16923,55525,20117,109792,157689,22917,1769,21640,1935,22150,7440,21452,1738,37115,13235,43103,12024,33000,11086
0500000US41011,41011,"Coos County, Oregon",22583,1737,26114,4211,22264,2461,21796,2565,24279,4796,51923,18888,43750,15298,65521,13808,20048,2099,17217,1792,17264,6136,17194,1571,34286,5994,32123,4918,43438,6966
0500000US41013,41013,"Crook County, Oregon",25127,2471,30421,3815,26513,5746,28024,10038,26086,4402,44236,12599,44306,10822,42375,47964,22605,3730,20391,4515,22386,11401,19705,3550,37708,18030,37833,26614,34688,29075
0500000US41015,41015,"Curry County, Oregon",22191,2571,21719,4755,19573,3625,19632,5546,19344,6517,40962,28351,44052,37192,28250,8798,22357,3255,20164,3140,21765,11724,19620,3449,37193,14825,36261,1416,47207,11880
0500000US41017,41017,"Deschutes County, Oregon",30813,2024,35969,3714,27950,3715,28837,5456,26825,5808,61133,6567,61148,7512,59688,19565,27226,1911,24444,1575,28283,2592,21309,1493,55274,7326,55839,7032,38207,39179
0500000US41019,41019,"Douglas County, Oregon",25026,1796,29564,2780,26354,2308,30142,4097,22583,2278,41292,3081,39783,6562,51393,5279,21578,1789,19178,971,20399,3016,18563,1122,36406,7703,35287,9344,46250,13460
0500000US41021,41021,"Gilliam County, Oregon",25893,5421,41779,4989,41346,6166,42260,6299,23542,17275,46875,132209,46875,132209,-,**,16771,2165,16667,2299,18750,2318,15000,4562,17500,19590,17500,19585,-,**
0500000US41023,41023,"Grant County, Oregon",21539,1967,24659,8027,23068,6242,24280,9369,16094,7431,37750,16219,31719,15534,70625,54415,17981,2897,16989,1639,14773,5912,17617,2014,29500,24290,42857,23709,-,**
0500000US41025,41025,"Harney County, Oregon",20559,4838,35152,7965,34306,8856,35759,7285,23309,5452,47961,16902,31250,30543,-,**,13827,1518,14439,1712,15530,6786,14127,1419,4833,11680,4833,11680,-,**
0500000US41027,41027,"Hood River County, Oregon",36003,5454,42397,8349,34852,10725,40377,12056,33406,12131,58750,11958,60345,15603,-,**,30859,9542,24113,3438,31731,13947,21528,5556,90560,38884,90781,22047,-,**
0500000US41029,41029,"Jackson County, Oregon",27031,1106,30321,2559,25234,2703,25000,3335,25863,4326,47235,9178,45890,10050,56103,10010,25676,1236,23580,1268,25925,1877,21631,1728,44858,5329,47277,6525,41373,3332
0500000US41031,41031,"Jefferson County, Oregon",33306,4651,38558,8445,35223,8833,38878,8201,21921,2195,60372,13168,60338,12646,78125,146348,27649,11241,23011,9992,32336,10081,17102,4965,32763,11420,32599,12615,43542,61092
0500000US41033,41033,"Josephine County, Oregon",20970,1874,21621,3020,19110,3431,17658,5264,20248,3536,38500,10823,36667,15531,38750,26899,20501,2298,18680,1399,19597,4682,18496,1196,39464,6144,38000,6789,40481,9888
0500000US41035,41035,"Klamath County, Oregon",22383,1792,24236,2644,20566,2536,20088,5507,20909,2659,43243,11014,37218,20465,53250,11132,20949,1980,18858,2051,19894,3962,18085,2360,33026,18861,32500,18508,41111,29208
0500000US41037,41037,"Lake County, Oregon",20735,2871,27839,7350,26875,7679,28958,3834,19138,2284,31705,28520,19375,26087,-,**,18538,2078,18373,1607,20521,9344,17967,1686,21944,11023,21944,11023,-,**
0500000US41039,41039,"Lane County, Oregon",25754,671,27443,1148,24041,1834,23021,2463,25663,2093,36924,3231,36161,3641,45286,7368,24307,899,21860,917,24925,1643,19752,893,33801,4139,31909,2593,50887,3271
0500000US41041,41041,"Lincoln County, Oregon",25862,1648,31996,6004,27234,4114,23255,3512,32473,9261,55597,13659,57992,7309,39018,4377,23109,2690,20671,2189,25628,4466,19137,1734,44336,6973,43241,6383,50375,18432
0500000US41043,41043,"Linn County, Oregon",26827,1255,31334,3075,25915,1969,25419,3683,26419,2019,48384,4360,48385,4593,48365,24610,24446,2120,20853,2085,22785,4280,19814,1931,46560,5161,47167,5629,37981,8344
0500000US41045,41045,"Malheur County, Oregon",18786,2565,19221,3962,17172,3177,17689,4817,16667,4972,29559,9766,27794,10129,107679,82636,18551,2924,16967,3551,23423,3523,14291,1686,61250,45031,65000,62347,44327,41393
0500000US41047,41047,"Marion County, Oregon",30488,1170,32932,1968,29661,3181,31724,2509,24174,3137,41372,6589,40503,6094,52059,29393,28403,1788,25822,1379,30746,1825,23396,1179,50290,8321,50848,8379,41655,36962
0500000US41049,41049,"Morrow County, Oregon",31747,3453,37917,6100,36328,9598,38537,5689,29327,6166,75938,40309,77344,41443,-,**,28988,4862,27976,5787,31512,3096,18846,5736,39063,61837,65197,52222,-,**
0500000US41051,41051,"Multnomah County, Oregon",36487,878,38051,1489,29491,1330,30345,1223,26049,2390,65167,3060,65699,2977,55167,7281,35311,1025,28295,1287,33793,1301,22483,1116,58490,1627,58284,1680,65921,9426
0500000US41053,41053,"Polk County, Oregon",27882,2438,36108,4809,29795,7987,28306,8696,34327,10383,42472,10871,41083,9406,71833,28758,24938,3415,23336,3275,27775,7564,21069,2746,29636,8376,29112,9918,51058,34345
