GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - 2-person household,Margin of Error; Family households: - 2-person household,Estimate; Family households: - 3-person household,Margin of Error; Family households: - 3-person household,Estimate; Family households: - 4-person household,Margin of Error; Family households: - 4-person household,Estimate; Family households: - 5-person household,Margin of Error; Family households: - 5-person household,Estimate; Family households: - 6-person household,Margin of Error; Family households: - 6-person household,Estimate; Family households: - 7-or-more person household,Margin of Error; Family households: - 7-or-more person household,Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - 1-person household,Margin of Error; Nonfamily households: - 1-person household,Estimate; Nonfamily households: - 2-person household,Margin of Error; Nonfamily households: - 2-person household,Estimate; Nonfamily households: - 3-person household,Margin of Error; Nonfamily households: - 3-person household,Estimate; Nonfamily households: - 4-person household,Margin of Error; Nonfamily households: - 4-person household,Estimate; Nonfamily households: - 5-person household,Margin of Error; Nonfamily households: - 5-person household,Estimate; Nonfamily households: - 6-person household,Margin of Error; Nonfamily households: - 6-person household,Estimate; Nonfamily households: - 7-or-more person household,Margin of Error; Nonfamily households: - 7-or-more person household
0500000US41001,41001,"Baker County, Oregon",7120,210,4603,238,2792,215,782,171,614,117,310,77,44,39,61,39,2517,220,2174,197,265,83,64,46,14,26,0,19,0,19,0,19
0500000US41003,41003,"Benton County, Oregon",33384,461,18698,502,9360,418,4137,366,3215,357,1303,201,409,125,274,90,14686,589,9765,475,3555,481,697,211,517,138,150,70,0,28,2,4
0500000US41005,41005,"Clackamas County, Oregon",146527,937,101963,1101,46363,1071,21713,982,20069,870,8578,605,3383,469,1857,290,44564,1144,35444,1098,7348,731,1279,293,332,157,128,92,0,28,33,40
0500000US41007,41007,"Clatsop County, Oregon",15749,366,9878,425,5129,386,1781,225,1822,277,731,163,249,70,166,73,5871,480,4834,441,913,203,120,55,4,6,0,25,0,25,0,25
0500000US41009,41009,"Columbia County, Oregon",19069,260,13725,409,6685,424,3153,346,2258,264,1068,180,347,116,214,98,5344,342,4374,345,893,188,64,64,6,9,7,11,0,25,0,25
0500000US41011,41011,"Coos County, Oregon",26072,569,15899,626,9159,553,3215,370,1719,228,1070,202,449,153,287,114,10173,714,8221,682,1611,260,252,107,80,56,8,13,1,3,0,28
0500000US41013,41013,"Crook County, Oregon",8880,313,6041,312,3166,281,1265,209,1084,192,342,100,97,63,87,62,2839,256,2317,269,475,147,37,49,10,17,0,22,0,22,0,22
0500000US41015,41015,"Curry County, Oregon",10355,345,6164,473,3988,339,1011,249,779,228,186,98,122,70,78,61,4191,437,3440,429,724,216,13,23,14,21,0,22,0,22,0,22
0500000US41017,41017,"Deschutes County, Oregon",64568,876,43353,933,22879,825,8263,628,7713,628,2973,399,940,285,585,191,21215,915,15986,898,4164,548,788,233,246,166,31,40,0,28,0,28
0500000US41019,41019,"Douglas County, Oregon",43846,599,29217,689,16390,585,5794,469,3797,393,2118,359,657,183,461,168,14629,703,11502,640,2808,353,261,104,21,25,20,31,17,27,0,28
0500000US41021,41021,"Gilliam County, Oregon",883,57,532,44,277,53,114,40,92,25,40,20,9,9,0,12,351,65,322,64,29,16,0,12,0,12,0,12,0,12,0,12
0500000US41023,41023,"Grant County, Oregon",3319,161,2126,143,1380,135,300,72,238,58,142,55,50,32,16,13,1193,153,1012,147,164,54,17,15,0,17,0,17,0,17,0,17
0500000US41025,41025,"Harney County, Oregon",3113,162,2158,174,1113,122,479,120,389,123,131,76,22,20,24,19,955,176,864,164,89,65,2,5,0,17,0,17,0,17,0,17
0500000US41027,41027,"Hood River County, Oregon",8144,360,5453,368,2265,276,1396,222,1043,261,359,112,324,161,66,38,2691,328,1983,284,562,171,122,68,24,29,0,22,0,22,0,22
0500000US41029,41029,"Jackson County, Oregon",83140,854,53998,961,27561,782,11066,665,9060,713,3646,505,1885,335,780,258,29142,906,23642,986,4683,488,577,180,203,104,30,47,7,16,0,28
