GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
0500000US41019,41019,"Douglas County, Oregon",43846,599,18352,560,15406,681,8701,531,1387,260,11502,640,7717,494,3785,423,19198,601,8374,431,6616,477,4208,415,6055,489,1260,240,2345,307,2129,362,321,115,7091,474,1001,229,2660,411,2364,287,1066,242
0500000US41021,41021,"Gilliam County, Oregon",883,57,265,44,394,57,196,41,28,20,322,64,124,33,198,56,306,56,112,31,79,27,115,39,114,40,14,13,57,27,25,15,18,20,141,31,15,13,60,24,56,23,10,10
0500000US41023,41023,"Grant County, Oregon",3319,161,1451,136,1077,140,729,119,62,33,1012,147,634,103,378,108,1544,150,749,112,413,87,382,95,317,73,41,26,143,55,111,38,22,15,446,78,27,20,143,40,236,63,40,30
0500000US41025,41025,"Harney County, Oregon",3113,162,1059,154,1254,179,750,126,50,25,864,164,445,119,419,102,1202,134,453,96,396,120,353,107,481,121,32,26,270,97,162,66,17,15,566,147,129,92,169,74,235,74,33,21
0500000US41027,41027,"Hood River County, Oregon",8144,360,1930,202,2740,270,2849,335,625,158,1983,284,944,196,1039,226,2827,310,838,126,773,150,1216,232,1518,226,101,52,471,154,683,181,263,126,1816,309,47,39,457,176,950,230,362,106
0500000US41029,41029,"Jackson County, Oregon",83140,854,30143,1067,29533,1189,20302,901,3162,387,23642,986,14286,798,9356,647,32244,941,12799,666,10241,680,9204,640,11643,661,1510,271,4421,479,4884,449,828,254,15611,770,1548,346,5515,537,6214,558,2334,327
0500000US41031,41031,"Jefferson County, Oregon",7882,243,2576,236,3046,313,1997,268,263,102,1823,262,1007,174,816,212,3157,216,1148,145,1165,197,844,168,1284,208,252,103,490,175,514,136,28,19,1618,237,169,62,575,162,639,154,235,98
0500000US41033,41033,"Josephine County, Oregon",34390,589,16080,663,10799,565,6533,521,978,214,10399,515,7526,509,2873,374,14015,545,6873,503,4250,459,2892,375,4236,390,897,182,1516,264,1577,270,246,137,5740,414,784,238,2160,367,2064,270,732,169
0500000US41035,41035,"Klamath County, Oregon",27378,410,10056,454,10303,551,6218,504,801,156,7284,486,4454,383,2830,296,10666,575,4350,354,3480,342,2836,342,4443,387,794,181,1938,323,1394,276,317,112,4985,326,458,136,2055,308,1988,279,484,127
0500000US41037,41037,"Lake County, Oregon",3566,161,1320,141,1471,164,638,123,137,76,1177,177,626,137,551,127,1447,160,644,108,524,113,279,88,317,106,22,25,128,68,131,69,36,25,625,154,28,25,268,119,228,74,101,65
0500000US41039,41039,"Lane County, Oregon",144912,977,50230,1179,52549,1301,36028,964,6105,560,41732,976,24020,837,17712,805,56277,1142,20548,897,18337,860,17392,851,21840,978,3386,450,7748,533,8315,595,2391,387,25063,857,2276,330,8752,643,10321,570,3714,442
0500000US41041,41041,"Lincoln County, Oregon",20913,524,8100,409,7301,494,4582,371,930,205,6508,467,3821,347,2687,353,8498,407,3572,311,2555,303,2371,253,2431,298,443,129,1009,194,768,167,211,90,3476,317,264,99,1050,204,1443,241,719,181
0500000US41043,41043,"Linn County, Oregon",44722,532,15067,585,16045,649,11645,581,1965,282,10729,666,6566,518,4163,380,17427,682,6694,425,5437,433,5296,468,7135,569,957,245,2722,344,2775,380,681,178,9431,519,850,197,3723,365,3574,378,1284,218
0500000US41045,41045,"Malheur County, Oregon",10136,242,3458,248,3888,310,2263,257,527,134,2842,226,1774,215,1068,175,3324,237,1238,136,1217,185,869,143,1488,207,254,95,540,154,541,135,153,75,2482,223,192,75,1063,184,853,152,374,104
0500000US41047,41047,"Marion County, Oregon",113285,765,33245,920,43351,1090,29925,1073,6764,567,28957,822,15479,698,13478,679,37497,902,12542,524,13399,744,11556,653,17544,1022,2716,359,6515,570,6541,611,1772,268,29287,859,2508,417,9959,585,11828,743,4992,490
0500000US41049,41049,"Morrow County, Oregon",3741,154,877,130,1603,179,1054,156,207,76,791,136,406,98,385,93,1337,119,322,62,570,105,445,103,426,114,57,38,183,72,133,57,53,38,1187,135,92,50,465,106,476,108,154,66
0500000US41051,41051,"Multnomah County, Oregon",305939,1489,77849,1229,124160,1948,88259,1623,15671,774,101448,1604,46060,1083,55388,1594,104587,1998,23285,874,34709,1152,46593,1411,44706,1328,4649,468,15584,975,18679,901,5794,491,55198,1247,3855,483,18479,945,22987,1019,9877,662
0500000US41053,41053,"Polk County, Oregon",28239,469,9029,482,9889,579,7933,485,1388,261,6455,503,3761,428,2694,392,10879,497,3961,280,3278,359,3640,369,4106,433,693,225,1289,236,1683,296,441,136,6799,491,614,175,2628,345,2610,325,947,231
0500000US41055,41055,"Sherman County, Oregon",827,61,349,46,252,48,210,39,16,8,270,44,168,35,102,38,335,44,151,29,80,21,104,30,85,20,20,10,33,14,28,12,4,4,137,30,10,7,37,18,78,27,12,7
0500000US41057,41057,"Tillamook County, Oregon",10236,340,3921,231,3552,347,2400,277,363,116,3008,274,1824,220,1184,218,4313,289,1804,185,1434,187,1075,205,1161,209,181,62,359,115,482,131,139,77,1754,200,112,53,575,141,843,170,224,90
0500000US41059,41059,"Umatilla County, Oregon",26744,355,7635,463,9679,602,7825,492,1605,239,6934,445,3788,370,3146,339,8554,450,2786,243,2860,355,2908,299,4172,417,393,139,1571,301,1681,239,527,159,7084,410,668,240,2102,256,3236,348,1078,184
0500000US41061,41061,"Union County, Oregon",10235,204,3486,241,3724,256,2633,208,392,99,2635,216,1331,148,1304,174,4169,260,1687,170,1198,158,1284,186,1379,173,246,96,491,120,484,125,158,65,2052,177,222,80,731,123,865,150,234,75
0500000US41063,41063,"Wallowa County, Oregon",2996,154,1211,135,1040,132,696,110,49,26,1057,120,637,97,420,89,1311,142,482,103,431,92,398,93,272,68,62,34,100,44,99,31,11,11,356,68,30,17,89,43,199,49,38,25
0500000US41065,41065,"Wasco County, Oregon",9612,296,3208,255,3507,324,2441,241,456,131,2603,285,1543,184,1060,200,3775,256,1318,153,1260,189,1197,209,1375,192,223,106,478,131,520,122,154,80,1859,248,124,76,709,192,724,129,302,93
0500000US41067,41067,"Washington County, Oregon",201771,975,42497,1187,84722,1669,63103,1349,11449,635,50998,1224,22247,981,28751,1029,68051,1344,15781,696,25029,976,27241,955,32740,1228,2610,323,11910,849,14335,856,3885,398,49982,1144,1859,306,19032,922,21527,1001,7564,514
0500000US41069,41069,"Wheeler County, Oregon",625,47,263,36,202,36,140,25,20,11,205,38,124,30,81,27,318,38,128,22,100,27,90,21,44,17,8,6,7,7,21,11,8,6,58,22,3,3,14,10,29,15,12,11
0500000US41071,41071,"Yamhill County, Oregon",34138,503,9831,513,11684,589,10304,541,2319,275,7433,524,4353,388,3080,380,12696,568,4316,346,3878,411,4502,363,4871,470,692,182,1699,316,1920,273,560,170,9138,493,470,159,3027,339,3882,437,1759,262
