GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No workers,Margin of Error; Total: - No workers,Estimate; Total: - 1 worker,Margin of Error; Total: - 1 worker,Estimate; Total: - 2 workers,Margin of Error; Total: - 2 workers,Estimate; Total: - 3 or more workers,Margin of Error; Total: - 3 or more workers,Estimate; Total: - 1-person household:,Margin of Error; Total: - 1-person household:,Estimate; Total: - 1-person household: - No workers,Margin of Error; Total: - 1-person household: - No workers,Estimate; Total: - 1-person household: - 1 worker,Margin of Error; Total: - 1-person household: - 1 worker,Estimate; Total: - 2-person household:,Margin of Error; Total: - 2-person household:,Estimate; Total: - 2-person household: - No workers,Margin of Error; Total: - 2-person household: - No workers,Estimate; Total: - 2-person household: - 1 worker,Margin of Error; Total: - 2-person household: - 1 worker,Estimate; Total: - 2-person household: - 2 workers,Margin of Error; Total: - 2-person household: - 2 workers,Estimate; Total: - 3-person household:,Margin of Error; Total: - 3-person household:,Estimate; Total: - 3-person household: - No workers,Margin of Error; Total: - 3-person household: - No workers,Estimate; Total: - 3-person household: - 1 worker,Margin of Error; Total: - 3-person household: - 1 worker,Estimate; Total: - 3-person household: - 2 workers,Margin of Error; Total: - 3-person household: - 2 workers,Estimate; Total: - 3-person household: - 3 workers,Margin of Error; Total: - 3-person household: - 3 workers,Estimate; Total: - 4-or-more-person household:,Margin of Error; Total: - 4-or-more-person household:,Estimate; Total: - 4-or-more-person household: - No workers,Margin of Error; Total: - 4-or-more-person household: - No workers,Estimate; Total: - 4-or-more-person household: - 1 worker,Margin of Error; Total: - 4-or-more-person household: - 1 worker,Estimate; Total: - 4-or-more-person household: - 2 workers,Margin of Error; Total: - 4-or-more-person household: - 2 workers,Estimate; Total: - 4-or-more-person household: - 3 or more workers,Margin of Error; Total: - 4-or-more-person household: - 3 or more workers
0500000US41001,41001,"Baker County, Oregon",7120,210,2899,205,2264,223,1800,183,157,75,2174,197,1439,171,735,147,3057,210,1277,143,939,133,841,135,846,176,71,43,280,97,400,119,95,54,1043,136,112,52,310,105,559,113,62,43
0500000US41003,41003,"Benton County, Oregon",33384,461,10407,491,12378,554,8879,521,1720,268,9765,475,5214,398,4551,401,12915,632,4003,374,4262,439,4650,439,4834,421,667,158,1554,225,1901,267,712,225,5870,389,523,203,2011,268,2328,298,1008,192
0500000US41005,41005,"Clackamas County, Oregon",146527,937,39379,1018,55020,1344,43410,1301,8718,579,35444,1098,18285,870,17159,887,53711,1271,16635,726,17752,699,19324,999,22992,1037,2549,382,7929,565,9420,766,3094,334,34380,981,1910,294,12180,741,14666,762,5624,529
0500000US41007,41007,"Clatsop County, Oregon",15749,366,5168,332,5645,414,4231,348,705,133,4834,441,2577,289,2257,339,6042,436,2139,227,1796,268,2107,284,1901,222,232,80,707,170,767,158,195,68,2972,266,220,94,885,185,1357,239,510,122
0500000US41009,41009,"Columbia County, Oregon",19069,260,6201,358,6941,416,5187,363,740,156,4374,345,2604,280,1770,252,7578,435,2681,229,2433,293,2464,309,3217,336,463,142,1316,221,1110,212,328,109,3900,324,453,154,1422,204,1613,244,412,121
0500000US41011,41011,"Coos County, Oregon",26072,569,11153,510,9062,582,5145,444,712,153,8221,682,5404,504,2817,460,10770,560,4698,352,3800,409,2272,300,3467,393,725,171,1084,213,1450,236,208,89,3614,344,326,107,1361,217,1423,238,504,147
0500000US41013,41013,"Crook County, Oregon",8880,313,3640,230,3141,379,1957,250,142,72,2317,269,1654,236,663,172,3641,311,1539,189,1165,221,937,196,1302,207,324,99,564,150,366,112,48,46,1620,214,123,59,749,179,654,174,94,56
0500000US41015,41015,"Curry County, Oregon",10355,345,5189,328,3102,355,1800,318,264,105,3440,429,2336,343,1104,255,4712,386,2483,230,1432,270,797,214,1024,248,193,95,255,112,428,159,148,97,1179,267,177,88,311,132,575,223,116,59
0500000US41017,41017,"Deschutes County, Oregon",64568,876,21804,781,23042,1013,17268,997,2454,351,15986,898,9196,657,6790,634,27043,1018,10262,635,8457,696,8324,728,9051,648,1295,248,3418,441,3505,472,833,248,12488,692,1051,239,4377,517,5439,506,1621,293
