GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In married-couple families:,Margin of Error; In married-couple families:,Estimate; In married-couple families: - Under 3 years,Margin of Error; In married-couple families: - Under 3 years,Estimate; In married-couple families: - 3 and 4 years,Margin of Error; In married-couple families: - 3 and 4 years,Estimate; In married-couple families: - 5 years,Margin of Error; In married-couple families: - 5 years,Estimate; In married-couple families: - 6 to 11 years,Margin of Error; In married-couple families: - 6 to 11 years,Estimate; In married-couple families: - 12 to 17 years,Margin of Error; In married-couple families: - 12 to 17 years,Estimate; In other families:,Margin of Error; In other families:,"Estimate; In other families: - Male householder, no wife present:","Margin of Error; In other families: - Male householder, no wife present:","Estimate; In other families: - Male householder, no wife present: - Under 3 years","Margin of Error; In other families: - Male householder, no wife present: - Under 3 years","Estimate; In other families: - Male householder, no wife present: - 3 and 4 years","Margin of Error; In other families: - Male householder, no wife present: - 3 and 4 years","Estimate; In other families: - Male householder, no wife present: - 5 years","Margin of Error; In other families: - Male householder, no wife present: - 5 years","Estimate; In other families: - Male householder, no wife present: - 6 to 11 years","Margin of Error; In other families: - Male householder, no wife present: - 6 to 11 years","Estimate; In other families: - Male householder, no wife present: - 12 to 17 years","Margin of Error; In other families: - Male householder, no wife present: - 12 to 17 years","Estimate; In other families: - Female householder, no husband present:","Margin of Error; In other families: - Female householder, no husband present:","Estimate; In other families: - Female householder, no husband present: - Under 3 years","Margin of Error; In other families: - Female householder, no husband present: - Under 3 years","Estimate; In other families: - Female householder, no husband present: - 3 and 4 years","Margin of Error; In other families: - Female householder, no husband present: - 3 and 4 years","Estimate; In other families: - Female householder, no husband present: - 5 years","Margin of Error; In other families: - Female householder, no husband present: - 5 years","Estimate; In other families: - Female householder, no husband present: - 6 to 11 years","Margin of Error; In other families: - Female householder, no husband present: - 6 to 11 years","Estimate; In other families: - Female householder, no husband present: - 12 to 17 years","Margin of Error; In other families: - Female householder, no husband present: - 12 to 17 years"
0500000US41001,41001,"Baker County, Oregon",2956,89,2023,280,317,77,224,65,139,55,707,136,636,109,933,264,257,148,79,95,6,10,3,6,62,46,107,56,676,188,88,54,64,47,67,60,175,80,282,105
0500000US41003,41003,"Benton County, Oregon",13914,275,10965,516,1558,172,1169,183,668,148,3607,308,3963,293,2949,442,584,180,79,59,46,30,9,13,193,105,257,102,2365,444,270,166,307,128,96,72,738,188,954,295
0500000US41005,41005,"Clackamas County, Oregon",80031,846,61504,1441,8558,499,6356,419,3256,416,21650,864,21684,888,18527,1360,5556,840,518,172,516,169,271,96,1752,442,2499,459,12971,1110,1553,319,1207,331,551,168,4467,560,5193,611
0500000US41007,41007,"Clatsop County, Oregon",6401,250,4109,334,511,125,474,112,338,125,1284,205,1502,169,2292,336,601,222,135,81,36,33,29,43,168,82,233,112,1691,338,283,133,139,62,113,60,807,210,349,109
0500000US41009,41009,"Columbia County, Oregon",10512,270,7402,505,889,194,797,164,424,124,2685,308,2607,264,3110,453,954,347,80,53,91,72,27,40,316,148,440,202,2156,330,387,131,195,74,131,79,634,167,809,215
0500000US41011,41011,"Coos County, Oregon",9961,389,6912,568,994,157,851,154,351,94,2480,293,2236,328,3049,478,839,293,28,26,107,97,76,59,461,211,167,81,2210,431,394,171,281,144,100,68,598,201,837,215
0500000US41013,41013,"Crook County, Oregon",3803,201,2871,273,440,131,215,92,221,101,1038,190,957,171,932,250,277,145,80,63,0,22,39,46,76,59,82,80,655,236,67,65,47,41,56,59,280,159,205,111
0500000US41015,41015,"Curry County, Oregon",3035,277,2073,327,334,80,225,100,156,79,790,202,568,186,962,278,514,235,84,69,17,13,35,41,161,88,217,130,448,169,87,61,51,56,22,29,102,75,186,101
0500000US41017,41017,"Deschutes County, Oregon",33529,476,25093,1044,3451,388,2888,319,1015,227,9086,633,8653,757,8436,923,2970,595,648,233,337,153,137,102,853,320,995,323,5466,914,654,234,575,205,314,141,1901,407,2022,423
