GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29
0500000US41019,41019,"Douglas County, Oregon",30163,645,284,134,135,102,0,28,80,71,16,25,53,49,0,28,1451,248,400,147,307,119,233,123,88,55,410,129,13,21,16367,417,7581,436,2253,282,1343,259,1165,211,3962,425,63,41,12061,346,6615,384,1213,196,907,145,733,164,2512,290,81,49
0500000US41021,41021,"Gilliam County, Oregon",559,62,0,12,0,12,0,12,0,12,0,12,0,12,0,12,30,17,14,13,4,7,8,8,0,12,4,5,0,12,316,48,207,39,32,19,26,18,14,10,30,17,7,11,213,39,102,30,22,10,9,9,12,13,68,31,0,12
0500000US41023,41023,"Grant County, Oregon",2335,129,30,21,13,15,0,17,8,9,0,17,9,11,0,17,125,40,60,25,4,6,6,5,20,19,35,26,0,17,1270,119,738,83,92,30,72,31,32,18,332,99,4,7,910,63,528,75,80,27,91,42,81,61,127,40,3,4
0500000US41025,41025,"Harney County, Oregon",2020,135,33,41,0,17,0,17,2,5,0,17,31,42,0,17,64,40,49,37,4,7,0,17,9,9,2,3,0,17,1220,98,713,110,140,67,89,57,73,42,193,68,12,17,703,87,422,90,38,24,58,31,94,53,87,49,4,7
0500000US41027,41027,"Hood River County, Oregon",5383,289,21,28,17,28,0,22,4,6,0,22,0,22,0,22,396,113,61,41,96,57,92,66,54,49,93,56,0,22,3463,245,1508,182,402,126,469,146,338,159,731,196,15,25,1503,129,834,123,71,39,115,87,108,52,375,127,0,22
0500000US41029,41029,"Jackson County, Oregon",51747,1194,466,174,136,127,57,47,113,93,12,19,148,85,0,28,3652,412,921,208,591,188,555,169,445,182,1140,257,0,28,29042,868,10960,717,3993,371,3245,343,2253,323,8331,580,260,110,18587,584,9283,588,1919,236,1360,216,1421,211,4503,393,101,61
0500000US41031,41031,"Jefferson County, Oregon",5156,267,62,38,27,25,4,6,0,22,0,22,31,30,0,22,258,92,83,44,52,49,0,22,68,54,55,44,0,22,3089,261,1265,185,262,98,532,153,126,64,864,171,40,40,1747,135,1038,140,240,85,119,55,75,40,271,82,4,8
0500000US41033,41033,"Josephine County, Oregon",22777,720,80,66,29,48,0,28,15,26,5,13,31,37,0,28,1106,214,263,93,109,71,166,122,92,74,459,168,17,21,12187,538,5046,480,1353,238,1303,268,805,183,3487,446,193,94,9404,327,5203,336,867,170,795,161,421,140,2095,258,23,25
0500000US41035,41035,"Klamath County, Oregon",18017,469,138,67,82,54,33,39,0,28,0,28,23,25,0,28,1290,223,323,113,259,94,155,74,118,81,390,162,45,71,10439,443,5277,377,1382,222,800,187,800,206,2105,299,75,51,6150,221,3484,258,477,142,469,114,410,128,1258,181,52,33
0500000US41037,41037,"Lake County, Oregon",2361,167,17,22,0,17,11,19,0,17,0,17,0,17,6,8,118,53,66,41,17,22,0,17,0,17,35,44,0,17,1334,152,769,141,158,67,158,76,55,35,194,84,0,17,892,94,459,89,58,40,90,55,51,32,234,120,0,17
0500000US41039,41039,"Lane County, Oregon",86324,1048,798,196,119,74,88,64,109,65,110,63,372,139,0,28,6901,507,1910,256,1444,248,1047,206,603,158,1874,305,23,24,50890,869,20551,779,7279,508,5522,451,3996,382,12855,575,687,185,27735,556,14760,472,2786,332,2332,298,1479,209,6272,434,106,55
0500000US41041,41041,"Lincoln County, Oregon",13694,429,40,32,17,18,0,25,11,19,8,14,4,8,0,25,724,142,240,96,108,69,67,44,106,68,192,96,11,23,7389,355,3199,308,877,166,769,173,538,122,1893,216,113,64,5541,246,2714,230,653,127,460,136,440,125,1267,210,7,8
0500000US41043,41043,"Linn County, Oregon",29852,740,332,137,129,110,78,51,80,61,17,23,28,22,0,28,2795,348,735,215,648,168,492,166,342,124,530,143,48,67,17149,580,7509,519,2562,306,1875,268,1455,278,3636,354,112,61,9576,326,5397,258,674,148,897,191,691,157,1868,261,49,46
0500000US41045,41045,"Malheur County, Oregon",6248,272,56,41,40,44,0,25,12,18,0,25,4,5,0,25,569,126,217,86,83,40,67,41,26,20,176,78,0,25,3358,216,1731,227,465,108,257,89,128,50,740,126,37,26,2265,138,1395,138,187,82,157,61,94,39,420,103,12,16
0500000US41047,41047,"Marion County, Oregon",68266,1012,273,97,73,67,23,24,39,39,55,43,83,56,0,28,6306,503,1594,314,1040,228,990,227,919,267,1755,221,8,12,41704,838,16304,790,6306,492,5184,449,3385,365,10355,734,170,87,19983,526,10221,494,2025,259,1975,254,1142,217,4545,346,75,46
0500000US41049,41049,"Morrow County, Oregon",2737,162,26,23,16,18,10,15,0,19,0,19,0,19,0,19,279,80,182,64,28,24,46,31,17,23,6,7,0,19,1718,125,993,122,199,60,95,50,171,67,260,78,0,19,714,77,433,80,92,45,54,26,34,22,93,46,8,9
0500000US41051,41051,"Multnomah County, Oregon",165713,1967,592,158,166,81,53,32,73,57,57,40,210,110,33,30,18688,816,5032,409,3410,375,3037,362,1935,257,5224,540,50,47,110333,1413,42919,1194,15851,768,13967,730,9928,634,26923,912,745,183,36100,817,15757,666,4552,361,3251,350,2661,268,9651,538,228,91
0500000US41053,41053,"Polk County, Oregon",18456,509,170,82,41,52,46,39,45,43,8,15,30,33,0,28,1578,289,434,189,367,134,157,101,221,117,399,156,0,28,11102,422,4854,373,1555,265,1410,248,764,173,2482,368,37,31,5606,278,2917,245,678,196,457,133,357,115,1184,225,13,22
0500000US41055,41055,"Sherman County, Oregon",537,60,2,3,1,2,1,2,0,12,0,12,0,12,0,12,28,21,5,4,2,3,0,12,0,12,21,20,0,12,265,45,153,33,16,9,23,15,2,3,67,28,4,6,242,32,170,27,22,12,6,5,12,10,30,14,2,3
0500000US41057,41057,"Tillamook County, Oregon",7150,324,27,35,25,35,0,22,0,22,0,22,2,3,0,22,398,122,109,52,47,39,75,45,65,89,102,67,0,22,3895,230,1616,205,485,110,370,114,344,134,1028,182,52,42,2830,156,1486,157,274,76,205,70,163,74,698,144,4,6
0500000US41059,41059,"Umatilla County, Oregon",17051,421,230,106,161,106,14,16,20,22,22,21,13,20,0,28,1553,242,547,130,351,140,209,115,109,65,337,117,0,28,10506,384,5887,374,1381,230,909,189,577,180,1649,228,103,74,4762,225,3021,237,429,108,280,78,213,77,814,154,5,8
0500000US41061,41061,"Union County, Oregon",6491,226,45,32,11,15,6,10,0,22,9,13,9,14,10,16,585,115,313,92,72,49,33,28,33,23,134,78,0,22,3799,168,2167,169,578,132,237,72,219,72,583,101,15,15,2062,128,1170,117,203,63,111,45,177,52,394,83,7,9
0500000US41063,41063,"Wallowa County, Oregon",2214,122,8,12,8,12,0,17,0,17,0,17,0,17,0,17,104,39,51,27,20,20,0,17,20,29,13,13,0,17,1227,96,655,82,108,40,95,43,86,44,283,72,0,17,875,68,425,52,80,33,107,54,49,23,214,52,0,17
0500000US41065,41065,"Wasco County, Oregon",6234,312,54,39,18,23,0,22,0,22,6,10,30,31,0,22,533,130,245,88,114,75,39,27,38,35,97,60,0,22,3657,259,1662,207,486,117,259,101,386,114,864,188,0,22,1990,157,1203,136,155,49,83,39,120,46,418,87,11,13
0500000US41067,41067,"Washington County, Oregon",122999,1385,614,162,154,68,102,58,61,41,17,24,271,110,9,15,12777,649,3636,395,2680,375,1914,278,1606,290,2932,425,9,16,83299,1145,35123,1091,12973,675,10333,768,6849,566,17765,716,256,111,26309,714,12316,577,2905,355,2685,381,1400,226,6918,442,85,57
0500000US41069,41069,"Wheeler County, Oregon",450,40,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,7,3,3,3,4,0,12,0,12,1,2,1,2,210,37,129,32,13,6,12,11,7,5,47,19,2,3,232,34,124,23,29,16,17,10,14,12,48,18,0,12
0500000US41071,41071,"Yamhill County, Oregon",23494,540,105,51,16,17,13,20,33,30,7,11,36,34,0,28,2141,247,590,167,255,79,399,130,169,82,705,199,23,33,14699,467,5277,397,2647,306,1514,238,1460,287,3611,384,190,131,6549,325,3421,354,863,183,447,110,405,134,1413,234,0,28
