GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With public assistance income,Margin of Error; Total: - With public assistance income,Estimate; Total: - No public assistance income,Margin of Error; Total: - No public assistance income
0500000US41001,41001,"Baker County, Oregon",7120,210,228,79,6892,226
0500000US41003,41003,"Benton County, Oregon",33384,461,1118,228,32266,466
0500000US41005,41005,"Clackamas County, Oregon",146527,937,4296,457,142231,1021
0500000US41007,41007,"Clatsop County, Oregon",15749,366,560,170,15189,390
0500000US41009,41009,"Columbia County, Oregon",19069,260,684,157,18385,284
0500000US41011,41011,"Coos County, Oregon",26072,569,1169,213,24903,541
0500000US41013,41013,"Crook County, Oregon",8880,313,359,109,8521,334
0500000US41015,41015,"Curry County, Oregon",10355,345,512,171,9843,357
0500000US41017,41017,"Deschutes County, Oregon",64568,876,2366,359,62202,897
0500000US41019,41019,"Douglas County, Oregon",43846,599,1748,267,42098,626
0500000US41021,41021,"Gilliam County, Oregon",883,57,21,18,862,59
0500000US41023,41023,"Grant County, Oregon",3319,161,130,46,3189,145
0500000US41025,41025,"Harney County, Oregon",3113,162,83,43,3030,175
0500000US41027,41027,"Hood River County, Oregon",8144,360,392,133,7752,381
0500000US41029,41029,"Jackson County, Oregon",83140,854,3282,364,79858,851
0500000US41031,41031,"Jefferson County, Oregon",7882,243,336,116,7546,253
0500000US41033,41033,"Josephine County, Oregon",34390,589,1838,312,32552,645
0500000US41035,41035,"Klamath County, Oregon",27378,410,1129,243,26249,450
0500000US41037,41037,"Lake County, Oregon",3566,161,187,94,3379,183
0500000US41039,41039,"Lane County, Oregon",144912,977,5053,450,139859,1039
0500000US41041,41041,"Lincoln County, Oregon",20913,524,785,172,20128,556
0500000US41043,41043,"Linn County, Oregon",44722,532,1875,333,42847,619
0500000US41045,41045,"Malheur County, Oregon",10136,242,485,113,9651,268
0500000US41047,41047,"Marion County, Oregon",113285,765,5263,509,108022,950
0500000US41049,41049,"Morrow County, Oregon",3741,154,101,40,3640,151
0500000US41051,41051,"Multnomah County, Oregon",305939,1489,13501,815,292438,1766
0500000US41053,41053,"Polk County, Oregon",28239,469,892,181,27347,471
0500000US41055,41055,"Sherman County, Oregon",827,61,41,17,786,58
0500000US41057,41057,"Tillamook County, Oregon",10236,340,156,69,10080,344
0500000US41059,41059,"Umatilla County, Oregon",26744,355,734,150,26010,395
0500000US41061,41061,"Union County, Oregon",10235,204,507,119,9728,239
0500000US41063,41063,"Wallowa County, Oregon",2996,154,91,55,2905,163
0500000US41065,41065,"Wasco County, Oregon",9612,296,558,129,9054,335
0500000US41067,41067,"Washington County, Oregon",201771,975,5591,532,196180,1047
0500000US41069,41069,"Wheeler County, Oregon",625,47,5,4,620,46
0500000US41071,41071,"Yamhill County, Oregon",34138,503,1111,205,33027,562
