GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Quintile Means: - Lowest Quintile,Margin of Error; Quintile Means: - Lowest Quintile,Estimate; Quintile Means: - Second Quintile,Margin of Error; Quintile Means: - Second Quintile,Estimate; Quintile Means: - Third Quintile,Margin of Error; Quintile Means: - Third Quintile,Estimate; Quintile Means: - Fourth Quintile,Margin of Error; Quintile Means: - Fourth Quintile,Estimate; Quintile Means: - Highest Quintile,Margin of Error; Quintile Means: - Highest Quintile,Estimate; Top 5 Percent,Margin of Error; Top 5 Percent
0500000US41001,41001,"Baker County, Oregon",9467,1181,22980,2096,40438,2291,59728,2692,123711,11143,201989,33556
0500000US41003,41003,"Benton County, Oregon",7905,819,26271,1423,49277,1715,82606,2330,166132,6671,266220,20295
0500000US41005,41005,"Clackamas County, Oregon",16268,535,40142,690,64416,979,95935,1252,202605,5351,358721,18731
0500000US41007,41007,"Clatsop County, Oregon",12499,1288,28630,1581,44864,1801,70016,2690,143198,15465,247744,54137
0500000US41009,41009,"Columbia County, Oregon",13320,1109,32578,2210,55349,2437,81615,2906,150804,10523,242860,34900
0500000US41011,41011,"Coos County, Oregon",9363,736,23096,1153,38063,1453,57916,2191,127290,9396,228364,32841
0500000US41013,41013,"Crook County, Oregon",10939,1246,24330,1396,39142,2613,59002,2613,109956,6846,166773,16149
0500000US41015,41015,"Curry County, Oregon",10373,1848,23416,2379,40155,3057,63141,4617,116166,9495,179862,29401
0500000US41017,41017,"Deschutes County, Oregon",12432,765,30249,1010,50614,1487,77999,1907,163325,8545,292013,29611
0500000US41019,41019,"Douglas County, Oregon",11006,649,25368,902,40525,1368,61667,1494,121369,4695,198208,14458
0500000US41021,41021,"Gilliam County, Oregon",11808,2747,28350,4429,46059,4467,66308,5879,120117,21337,191303,73094
0500000US41023,41023,"Grant County, Oregon",9769,1540,21935,2088,36116,3426,58620,5083,130851,17067,207576,39651
0500000US41025,41025,"Harney County, Oregon",10089,2163,24373,2290,37495,2970,56237,4722,111215,12086,169299,20029
0500000US41027,41027,"Hood River County, Oregon",17152,1621,37283,3551,57129,2916,82067,4151,144058,10732,229154,26142
0500000US41029,41029,"Jackson County, Oregon",10866,553,26928,799,44395,1017,68144,1321,141870,5496,245814,15421
0500000US41031,41031,"Jefferson County, Oregon",11154,1704,28482,2047,43813,2388,63537,3986,140497,24531,270453,89326
0500000US41033,41033,"Josephine County, Oregon",9172,670,22804,1042,37784,1299,59781,1890,127300,9352,224971,32065
0500000US41035,41035,"Klamath County, Oregon",10020,759,23716,1304,39943,1924,61864,2307,121563,4930,189013,12063
0500000US41037,41037,"Lake County, Oregon",9602,1726,20686,1933,34197,4444,56077,4023,118106,17530,196848,56957
0500000US41039,41039,"Lane County, Oregon",8944,326,25351,510,43419,747,68317,1160,143209,3939,245365,13676
0500000US41041,41041,"Lincoln County, Oregon",10890,935,25562,1149,43049,2007,66866,2707,128840,6370,198671,17576
0500000US41043,41043,"Linn County, Oregon",11379,641,28417,1136,46715,1201,68395,1524,119894,4045,178844,11361
0500000US41045,41045,"Malheur County, Oregon",8748,752,20204,1617,35559,2138,57750,2726,115530,8441,190854,24318
0500000US41047,41047,"Marion County, Oregon",12110,470,29793,727,47357,901,71639,1252,139455,4269,227829,14731
0500000US41049,41049,"Morrow County, Oregon",14001,1712,31117,2582,48741,2757,71704,5067,133251,11593,194531,27937
0500000US41051,41051,"Multnomah County, Oregon",10940,285,30658,512,52760,642,83473,950,182394,3473,325741,11978
0500000US41053,41053,"Polk County, Oregon",12064,1155,31686,1556,52826,1746,80294,2860,145959,6032,222703,16758
0500000US41055,41055,"Sherman County, Oregon",9004,1526,24085,3164,43591,4410,69615,5644,126965,11262,186019,21445
0500000US41057,41057,"Tillamook County, Oregon",11952,1142,27183,1742,43386,1899,63948,2759,117147,9087,192663,26501
0500000US41059,41059,"Umatilla County, Oregon",11590,928,28973,1389,48057,1775,72169,2127,130560,6383,202375,19335
0500000US41061,41061,"Union County, Oregon",8744,1075,24245,1514,42468,2087,66024,2833,135371,11161,230097,36830
0500000US41063,41063,"Wallowa County, Oregon",9496,1563,25036,2999,41980,3234,63575,4997,116236,9438,174187,26373
0500000US41065,41065,"Wasco County, Oregon",12587,1286,29026,1517,43825,1620,67487,2744,144417,15235,255244,49140
0500000US41067,41067,"Washington County, Oregon",16304,468,39752,662,64230,830,96859,1122,189052,4072,305564,13253
0500000US41069,41069,"Wheeler County, Oregon",10296,1485,23744,3291,37196,3826,57814,6156,114229,20596,192391,49703
0500000US41071,41071,"Yamhill County, Oregon",13332,968,33512,1276,54384,2009,82132,2148,156288,13221,259836,46244
