GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With wage or salary income,Margin of Error; Total: - With wage or salary income,Estimate; Total: - No wage or salary income,Margin of Error; Total: - No wage or salary income
0500000US41001,41001,"Baker County, Oregon",7120,210,4439,238,2681,187
0500000US41003,41003,"Benton County, Oregon",33384,461,24512,595,8872,474
0500000US41005,41005,"Clackamas County, Oregon",146527,937,110197,1044,36330,837
0500000US41007,41007,"Clatsop County, Oregon",15749,366,10925,457,4824,313
0500000US41009,41009,"Columbia County, Oregon",19069,260,13694,384,5375,336
0500000US41011,41011,"Coos County, Oregon",26072,569,15830,570,10242,485
0500000US41013,41013,"Crook County, Oregon",8880,313,5431,323,3449,253
0500000US41015,41015,"Curry County, Oregon",10355,345,5580,363,4775,304
0500000US41017,41017,"Deschutes County, Oregon",64568,876,44351,936,20217,707
0500000US41019,41019,"Douglas County, Oregon",43846,599,27398,725,16448,538
0500000US41021,41021,"Gilliam County, Oregon",883,57,655,55,228,41
0500000US41023,41023,"Grant County, Oregon",3319,161,2014,189,1305,132
0500000US41025,41025,"Harney County, Oregon",3113,162,2139,154,974,149
0500000US41027,41027,"Hood River County, Oregon",8144,360,6171,333,1973,233
0500000US41029,41029,"Jackson County, Oregon",83140,854,55196,946,27944,870
0500000US41031,41031,"Jefferson County, Oregon",7882,243,5616,289,2266,218
0500000US41033,41033,"Josephine County, Oregon",34390,589,18891,628,15499,595
0500000US41035,41035,"Klamath County, Oregon",27378,410,18002,513,9376,447
0500000US41037,41037,"Lake County, Oregon",3566,161,2378,163,1188,96
0500000US41039,41039,"Lane County, Oregon",144912,977,100264,1138,44648,1070
0500000US41041,41041,"Lincoln County, Oregon",20913,524,12965,515,7948,397
0500000US41043,41043,"Linn County, Oregon",44722,532,30763,691,13959,549
0500000US41045,41045,"Malheur County, Oregon",10136,242,6955,295,3181,217
0500000US41047,41047,"Marion County, Oregon",113285,765,84546,1033,28739,765
0500000US41049,41049,"Morrow County, Oregon",3741,154,2833,155,908,131
0500000US41051,41051,"Multnomah County, Oregon",305939,1489,235964,1742,69975,1190
0500000US41053,41053,"Polk County, Oregon",28239,469,20387,534,7852,396
0500000US41055,41055,"Sherman County, Oregon",827,61,525,60,302,39
0500000US41057,41057,"Tillamook County, Oregon",10236,340,6315,316,3921,247
0500000US41059,41059,"Umatilla County, Oregon",26744,355,19934,473,6810,382
0500000US41061,41061,"Union County, Oregon",10235,204,7192,212,3043,178
0500000US41063,41063,"Wallowa County, Oregon",2996,154,1772,179,1224,129
0500000US41065,41065,"Wasco County, Oregon",9612,296,6624,334,2988,214
0500000US41067,41067,"Washington County, Oregon",201771,975,163525,1204,38246,1059
0500000US41069,41069,"Wheeler County, Oregon",625,47,386,39,239,35
0500000US41071,41071,"Yamhill County, Oregon",34138,503,24456,592,9682,489
