GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05
Id,Id2,Geography,Estimate; Aggregate income deficit in the past 12 months:,Margin of Error; Aggregate income deficit in the past 12 months:,Estimate; Aggregate income deficit in the past 12 months: - Married-couple family,Margin of Error; Aggregate income deficit in the past 12 months: - Married-couple family,Estimate; Aggregate income deficit in the past 12 months: - Other family:,Margin of Error; Aggregate income deficit in the past 12 months: - Other family:,"Estimate; Aggregate income deficit in the past 12 months: - Other family: - Male householder, no wife present","Margin of Error; Aggregate income deficit in the past 12 months: - Other family: - Male householder, no wife present","Estimate; Aggregate income deficit in the past 12 months: - Other family: - Female householder, no husband present","Margin of Error; Aggregate income deficit in the past 12 months: - Other family: - Female householder, no husband present"
0500000US41001,41001,"Baker County, Oregon",4587700,1274881,1586300,725040,3001300,1154134,494400,511334,2506900,926280
0500000US41003,41003,"Benton County, Oregon",15116600,3002544,5433900,1833183,9682600,2500681,2156000,866972,7526700,2226539
0500000US41005,41005,"Clackamas County, Oregon",61988100,6169356,24650300,4011246,37337800,4875800,6422400,2398386,30915400,4375487
0500000US41007,41007,"Clatsop County, Oregon",10170400,2033222,3087300,980356,7083100,1960980,866100,647062,6217000,1946317
0500000US41009,41009,"Columbia County, Oregon",12188600,2975345,4066000,1428908,8122600,2797430,1466200,817271,6656400,2588864
0500000US41011,41011,"Coos County, Oregon",14968000,3335855,6815100,2267313,8153000,2054686,1366800,725530,6786100,1893326
0500000US41013,41013,"Crook County, Oregon",8027600,2202611,4843100,1936085,3184500,1393678,677100,667123,2507400,1196073
0500000US41017,41017,"Deschutes County, Oregon",41642600,6092590,18641800,4516188,23000700,4292480,6520500,2508282,16480200,3617784
0500000US41019,41019,"Douglas County, Oregon",30766900,4441075,11553700,2638185,19213100,3323623,5509800,1895852,13703300,2824008
0500000US41023,41023,"Grant County, Oregon",1805000,820221,420600,160533,1384400,787000,390700,302956,993600,671993
0500000US41029,41029,"Jackson County, Oregon",57660100,7038564,17445700,3460418,40214400,6018737,9342600,3011867,30871800,5659504
0500000US41031,41031,"Jefferson County, Oregon",7878500,1707882,1348400,659394,6530100,1699805,1664500,777914,4865600,1623760
0500000US41033,41033,"Josephine County, Oregon",29107300,5148873,12672500,3398007,16434800,3537808,5318900,2018666,11115900,3060206
0500000US41035,41035,"Klamath County, Oregon",19060900,3129207,8173400,1805856,10887500,2510457,1479000,682912,9408500,2449404
0500000US41037,41037,"Lake County, Oregon",2083600,796993,940500,456557,1143200,659324,-,**,1143200,659324
0500000US41039,41039,"Lane County, Oregon",90356000,7707684,28479000,5074352,61877000,6003203,13409400,3449178,48467600,5542602
0500000US41041,41041,"Lincoln County, Oregon",11923900,2121282,4439700,1265658,7484300,1714695,874800,673856,6609400,1621703
0500000US41043,41043,"Linn County, Oregon",34269000,4825229,13584600,2999265,20684400,4356290,3076300,1659913,17608100,3950107
0500000US41045,41045,"Malheur County, Oregon",12210600,2291874,4837800,1380102,7372800,1874370,960500,579345,6412300,1693045
0500000US41047,41047,"Marion County, Oregon",102982200,9548111,35604000,4740694,67378200,8125189,9728200,2658774,57650100,7910702
0500000US41049,41049,"Morrow County, Oregon",3946100,1100129,1051000,616506,2895100,942878,966300,538390,1928800,712871
0500000US41051,41051,"Multnomah County, Oregon",190156200,14032067,67358500,6744438,122797600,11792604,19915600,4430621,102882000,9601117
0500000US41053,41053,"Polk County, Oregon",17901800,3551209,6542000,1808928,11359700,2707898,3603800,1631978,7755900,2451672
0500000US41055,41055,"Sherman County, Oregon",486600,188776,163100,101202,323500,185781,91300,88396,232200,165407
0500000US41057,41057,"Tillamook County, Oregon",5097100,1715630,2160300,986743,2936800,1459408,148800,191108,2788000,1459336
0500000US41059,41059,"Umatilla County, Oregon",22174100,3567942,5457700,2044070,16716400,3440161,1511400,984862,15205000,3118799
0500000US41061,41061,"Union County, Oregon",6971600,1335597,2762300,930326,4209300,1086893,1148000,658701,3061200,857898
0500000US41065,41065,"Wasco County, Oregon",6639300,2561911,2013000,945085,4626300,2333648,413000,339699,4213300,2270263
0500000US41067,41067,"Washington County, Oregon",97027800,8072350,36367600,5071777,60660200,6673422,8454800,2239555,52205400,6467235
0500000US41071,41071,"Yamhill County, Oregon",22443100,3661481,10500200,2577954,11942900,2901501,2641800,1220099,9301100,2406504
